"PHYSICAL EDUC ACTIVITY PRO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","",""
"100
001
Exercise,Nutrition,&Health","179","2.594","13.4","11.7","22.9","14.5","23.5","8.4","3.9","0.6","0.6",".",".",".","0.6",".",".","."
"125
001","22","4.000","9.1",".",".",".",".",".",".","77.3",".",".",".",".",".",".","13.6","."
"125
002","18","",".",".",".",".",".",".",".","88.9",".",".",".",".",".",".","11.1","."
"125
003","20","",".",".",".",".",".",".",".","95.0",".",".",".",".",".",".","5.0","."
"125
004","21","4.000","4.8",".",".",".",".",".",".","76.2",".",".",".",".","4.8",".","14.3","."
"Course Total
Adapted Fitness&Pers Traing","81","4.000","3.7",".",".",".",".",".",".","84.0",".",".",".",".","1.2",".","11.1","."
"129
001","22","3.455","27.3","45.5","22.7",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"129
002","21","3.553","38.1","23.8","28.6",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"Course Total
Intro to Yoga Practice","43","3.500","32.6","34.9","25.6",".","2.3",".",".","4.7",".",".",".",".",".",".",".","."
"134
003
Relaxation Tech & Exercise","18","3.625","44.4","22.2","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"001
211","27","3.926","96.3",".",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"211
002","25","3.833","92.0",".",".",".",".",".","4.0","4.0",".",".",".",".",".",".",".","."
"Course Total
Intro to Martial Arts","52","3.882","94.2",".",".",".","1.9",".","1.9","1.9",".",".",".",".",".",".",".","."
"230
001","17","2.441","5.9","11.8","41.2","5.9","17.6","5.9","11.8",".",".",".",".",".",".",".",".","."
"002
230","11","2.818","27.3",".","45.5",".","9.1","18.2",".",".",".",".",".",".",".",".",".","."
"Course Total
Topics-Adv Fitness Training","28","2.589","14.3","7.1","42.9","3.6","14.3","10.7","7.1",".",".",".",".",".",".",".",".","."
"003
300
Workshop-Physical Activity","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"PE ACTIV
Dept. Total
740","420","2.897","27.1","11.4","16.4","6.4","11.4","4.3","2.4","17.6","0.2",".",".",".","0.5",".","2.1","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","",""
"Freshmen","52","2.727","26.9","13.5","23.1","9.6","11.5","7.7","7.7",".",".",".",".",".",".",".",".","."
"Sophomore","94","2.834","23.4","14.9","21.3","11.7","21.3","5.3","1.1",".",".",".",".",".","1.1",".",".","."
"Junior","60","2.828","40.0","8.3","16.7","11.7","13.3","5.0","5.0",".",".",".",".",".",".",".",".","."
"Senior","119","3.091","42.9","16.8","16.8","2.5","10.1","5.0","1.7","3.4","0.8",".",".",".",".",".",".","."
"Undergraduates","325","2.890","34.2","14.2","19.1","8.0","14.2","5.5","3.1","1.2","0.3",".",".",".","0.3",".",".","."
"Special","86","3.143","2.3","1.2","4.7",".","1.2",".",".","79.1",".",".",".",".","1.2",".","10.5","."
"Graduate","5","2.667",".",".","40.0",".","20.0",".",".","40.0",".",".",".",".",".",".",".","."
"Prof Yr 3","3","3.000","33.3",".","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 4","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","4","3.100","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Dept. Total","420","2.897","27.1","11.4","16.4","6.4","11.4","4.3","2.4","17.6","0.2",".",".",".","0.5",".","2.1","."
