"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","170","2.459","18.2","5.3","25.3","4.1","28.2","11.8","7.1",".",".",".",".",".",".",".",".","."
"","002
101","166","2.255","9.6","7.8","24.1","7.2","24.1","16.9","8.4","1.2",".",".",".",".",".",".",".","0.6"
"Animal Biology","Course Total","336","2.359","14.0","6.5","24.7","5.7","26.2","14.3","7.7","0.6",".",".",".",".",".",".",".","0.3"
"","001
102","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","15","3.000","6.7","33.3","33.3","20.0",".","6.7",".",".",".",".",".",".",".",".",".","."
"","102
003","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
102","17","3.412","41.2","17.6","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","102
005","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","16","3.313","12.5","43.8","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","12","3.458","41.7","16.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","008
102","13","3.346","46.2","23.1","7.7","15.4",".","7.7",".",".",".",".",".",".",".",".",".","."
"","009
102","14","3.214","14.3","35.7","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","102
010","11","3.182","9.1","36.4","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","011
102","14","3.429","42.9","21.4","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","012
102","21","3.357","33.3","14.3","42.9","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","13","3.077","23.1","30.8","30.8",".",".","15.4",".",".",".",".",".",".",".",".",".","."
"","014
102","19","3.289","26.3","15.8","47.4","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","13","3.115","7.7","38.5","38.5",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","102
016","12","3.375","25.0","41.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","017
102","15","3.133","33.3","20.0","26.7","6.7",".","13.3",".",".",".",".",".",".",".",".",".","."
"","102
018","10","3.100",".","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","256","3.318","28.1","28.5","31.3","7.8","2.0","2.3",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","82","2.841","18.3","8.5","35.4","13.4","17.1","7.3",".",".",".",".",".",".",".",".",".","."
"","001
152","56","2.909","14.3","8.9","46.4","8.9","17.9",".","1.8",".",".",".",".",".","1.8",".",".","."
"","002
152","64","3.056","21.9","4.7","50.0","6.3","12.5","1.6",".",".",".",".",".",".","3.1",".",".","."
"","152
003","35","3.157","17.1","17.1","54.3","2.9","8.6",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","155","3.026","18.1","9.0","49.7","6.5","13.5","0.6","0.6",".",".",".",".",".","1.9",".",".","."
"Introductory Biology","153
001","46","2.685","19.6","6.5","32.6","8.7","17.4","13.0","2.2",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260
001","47","3.138","34.0","8.5","25.5","14.9","17.0",".",".",".",".",".",".",".",".",".",".","."
"","299
018","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
049","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
081","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","23","3.196","47.8","17.4","4.3","13.0","4.3","13.0",".",".",".",".",".",".",".",".",".","."
"Hum/An Relatn:Bio&Phils Iss","335
001","111","2.964","20.7","15.3","34.2","4.5","20.7","4.5",".",".",".",".",".",".",".",".",".","."
"Parasitology","350
001","40","2.600","15.0","2.5","40.0","7.5","22.5","7.5","5.0",".",".",".",".",".",".",".",".","."
"","002
400","26","4.000","96.2",".",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"","400
003","20","2.875","15.0","20.0","20.0","15.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"","400
004","20","3.600","70.0","5.0","15.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","006
400","48","2.802","12.5","20.8","29.2","14.6","12.5","8.3","2.1",".",".",".",".",".",".",".",".","."
"Topics in Biology","Course Total","114","3.095","42.1","13.2","18.4","9.6","10.5","4.4","0.9",".",".",".",".",".","0.9",".",".","."
