"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"699","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","093","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","096","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurol 699: Directed Research","Course Total","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","041","","17","3.382","23.5","29.4","47.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","042","","19","3.316","21.1","21.1","57.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","043","","22","3.545","45.5","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neuroscience Core Clerkship","Course Total","","58","3.422","31.0","22.4","46.6",".",".",".",".",".",".",".",".",".",".",".",".","."
