"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","135","3.149","20.7","20.0","34.1","18.5","5.2","0.7",".","0.7",".",".",".",".",".",".",".","."
"Real Estate Law","312
001","19","3.289","31.6","15.8","31.6","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","410
001","30","3.321","33.3","16.7","20.0","23.3",".",".",".",".",".",".",".",".",".","3.3","3.3","."
"","002
410","7","3.250","14.3","14.3","57.1",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Real Estate Finance","Course Total","37","3.309","29.7","16.2","27.0","18.9",".",".",".",".",".",".",".",".","2.7","2.7","2.7","."
"Valuation of Real Estate","415
001","34","3.364","26.5","35.3","23.5","5.9","5.9",".",".",".",".",".",".",".","2.9",".",".","."
"Urban & Regional Economics","420
002","37","3.528","35.1","45.9","8.1","2.7","5.4",".",".",".",".",".",".",".",".","2.7",".","."
"Community Economic Analysis","520
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","40","3.463","20.0","55.0","22.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Green-Sustainable Development","651
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","706
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","18","3.722","61.1","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740
001","15","3.821","60.0","33.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","765
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
765","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
765","14","3.607","42.9","42.9","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","38","3.825","76.3","18.4","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","425","3.449","40.0","24.9","20.9","9.6","2.6","0.2",".","0.2",".",".",".",".","0.7","0.5","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"Sophomore","","20","3.175","20.0","20.0","40.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Junior","","85","3.229","27.1","20.0","30.6","16.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"Senior","","194","3.361","28.9","32.0","23.2","11.3","2.6","0.5",".",".",".",".",".",".","1.0","0.5",".","."
"Undergraduates","","299","3.311","27.8","27.8","26.4","13.0","3.7","0.3",".",".",".",".",".",".","0.7","0.3",".","."
"Special","","12","3.600","41.7","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".","8.3","8.3","."
"Graduate","","108","3.827","75.0","15.7","7.4","0.9",".",".",".",".",".",".",".",".","0.9",".",".","."
"Prof Yr 3","","6","3.500","16.7","50.0","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Professionals","","6","3.500","16.7","50.0","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","Dept. Total","425","3.449","40.0","24.9","20.9","9.6","2.6","0.2",".","0.2",".",".",".",".","0.7","0.5","0.2","."
