"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"655","001","","12","3.667","75.0","8.3",".","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"655","002","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"655","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"655","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Collection Management","Course Total","","25","3.780","80.0","8.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"661
Information Ethics and Policy","001","","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"712","001","","10","3.722","60.0","10.0","20.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"712","002","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"712","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Public Library","Course Total","","20","3.737","60.0","20.0","15.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"751
Database Dsgn-Lib&Info Agency","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"818
Archive Accessioning&Appraisal","001","","23","3.761","60.9","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"826
Fld Project-Lib&Info Literacy","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"839
Special Collections","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"847
Topics in User Services","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"853","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"853","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Metadata Standards & Apps","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"855","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"855","002","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"855","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"855","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","Course Total","","46","3.948","93.5","4.3",".",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"861","001","","8","3.250","37.5","25.0","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"861","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Information Architecture","Course Total","","13","3.462","53.8","15.4","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"875","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"875","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Info Procsng&Retrvl","Course Total","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Smr-Info Pol, Mgmt&Institutns","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"999","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","027","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 253 of 409",""
