"","990
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","11","",".",".",".",".",".",".",".","27.3",".",".",".","72.7",".",".",".","."
"M S & E
636","Dept. Total","700","3.358","30.3","21.0","21.7","7.0","2.9","0.4","0.3","8.0",".","3.1",".","4.1","0.9","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","54","3.077","13.0","25.9","40.7","13.0","1.9","3.7",".",".",".",".",".",".",".","1.9",".","."
"Junior","","154","3.254","27.3","27.9","25.3","12.3","5.8","0.6",".",".",".",".",".",".","0.6",".",".","."
"Senior","","246","3.385","33.7","27.2","28.5","7.3","2.8",".",".",".",".",".",".",".","0.4",".",".","."
"Undergraduates","","455","3.304","29.0","27.5","28.8","9.7","3.7","0.7",".",".",".",".",".",".","0.4","0.2",".","."
"Special","","11","2.483","18.2","18.2","18.2",".","18.2",".","18.2",".",".",".",".",".",".",".","9.1","."
"Graduate","","234","3.646","33.3","8.5","8.1","2.1","0.4",".",".","23.9",".","9.4",".","12.4","1.7",".",".","."
"","Dept. Total","700","3.358","30.3","21.0","21.7","7.0","2.9","0.4","0.3","8.0",".","3.1",".","4.1","0.9","0.1","0.1","."
