"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","119","3.897","86.6","5.9","4.2","0.8","0.8",".",".","0.8",".",".",".",".","0.8",".",".","."
"Environmental Geology","106","001","38","2.868","2.6","18.4","47.4","18.4","10.5","2.6",".",".",".",".",".",".",".",".",".","."
"Envir St-Social Perspective","112","001","195","3.365","27.7","42.6","17.9","4.6","2.1","2.1","1.5","0.5",".",".",".",".","1.0",".",".","."
"Global Phys Environments","120","001","71","2.914","15.5","15.5","29.6","21.1","14.1","1.4","1.4",".",".",".",".",".",".","1.4",".","."
"Principles-Envrnmtl Science","126","001","81","3.306","32.1","21.0","33.3","4.9","4.9","2.5",".","1.2",".",".",".",".",".",".",".","."
"Resources and People","139","001","32","3.216","31.3","21.9","21.9","9.4","15.6",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","7","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","29","3.793","75.9","6.9","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","244","001","16","2.750","12.5","18.8","37.5","6.3","12.5","6.3","6.3",".",".",".",".",".",".",".",".","."
"Intro to Sustainability Sci","250","001","47","3.489","61.7","10.6","14.9","6.4","2.1",".","4.3",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","51","2.951","15.7","11.8","35.3","25.5","9.8","2.0",".",".",".",".",".",".",".",".",".","."
"Env Lit:Speaking for Nature","307","001","24","3.913","91.7",".",".",".","4.2",".",".",".",".",".",".",".","4.2",".",".","."
"Global Warming:Science&Impacts","332","001","33","3.145","24.2","24.2","24.2","9.1","9.1",".","3.0","3.0",".",".",".",".","3.0",".",".","."
"Nature, Power and Society","337","001","34","3.045","8.8","26.5","32.4","23.5","5.9",".",".","2.9",".",".",".",".",".",".",".","."
"","339","001","48","3.074","18.8","14.6","41.7","12.5","8.3","2.1",".",".",".",".",".",".",".","2.1",".","."
"","339","002","43","2.702","11.6","7.0","34.9","18.6","18.6","4.7","2.3",".",".",".",".",".",".","2.3",".","."
"Environmental Conservation","","Course Total","91","2.899","15.4","11.0","38.5","15.4","13.2","3.3","1.1",".",".",".",".",".",".","2.2",".","."
"Environmental Economics","343","001","20","3.179","20.0","30.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","26","3.360","26.9","34.6","15.4","19.2",".",".",".","3.8",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","18","3.250","27.8","33.3","11.1","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","10","3.550","40.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Env Perspctve-Phys Sci","401","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","402","001","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","004","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","402","005","20","3.550","35.0","40.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","61","3.710","70.5","19.7","8.2",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"Law and Environment","430","001","19","3.361","26.3","31.6","21.1","15.8",".",".",".","5.3",".",".",".",".",".",".",".","."
"Intro-Environmental Health","471","001","67","3.619","38.8","47.8","11.9","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes","510","001","27","2.907","18.5","3.7","48.1","7.4","18.5","3.7",".",".",".",".",".",".",".",".",".","."
"","511","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","511","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecology of Fishes Lab","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Renewable Resources Policy","515","001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment-Environ Impact","575","001","25","3.271","20.0","24.0","40.0","12.0",".",".",".",".",".",".",".",".","4.0",".",".","."
"","600","001","13","3.769","76.9","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","004","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","005","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 155 of 409",""
