"LITERATURE IN TRANSLATION","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202","001","","38","3.447","23.7","42.1","34.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran II","204","001","","33","3.455","45.5","39.4","6.1","3.0",".",".","6.1",".",".",".",".",".",".",".",".","."
"Masterpieces-Fr Lit & Culture","209","001","","20","3.600","45.0","35.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Polish Lit Tran:14-Mid 19 C","215","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Dostoevsky in Translation","222","001","","34","3.103","23.5","17.6","29.4","14.7","14.7",".",".",".",".",".",".",".",".",".",".","."
"Manga","231","001","","44","3.012","6.8","27.3","47.7","2.3","6.8","2.3","2.3",".",".",".",".",".","2.3",".","2.3","."
"Soviet Life&Cult (1917 on)","234","001","","28","3.541","50.0","25.0","7.1","3.6","10.7",".",".","3.6",".",".",".",".",".",".",".","."
"Bascom Crse-In Translation","236","002","","19","3.737","68.4","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253","001","","45","3.000","22.2","20.0","17.8","20.0","8.9","6.7",".","2.2",".",".",".",".",".",".","2.2","."
"Lits of Muslim Societies-Trans","257","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Lit in Trans","262","001","","24","3.609","66.7","16.7",".",".","8.3","4.2",".","4.2",".",".",".",".",".",".",".","."
"Survey-Japanese Lit in Tran","264","001","","15","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","274","001","","67","3.508","29.9","43.3","17.9","3.0","1.5",".",".","3.0",".",".",".",".",".",".","1.5","."
"","274","002","","30","3.724","53.3","36.7","3.3","3.3",".",".",".",".",".",".",".",".",".","3.3",".","."
"Scand Lit in Tran-20th C","","Course Total","","97","3.589","37.1","41.2","13.4","3.1","1.0",".",".","2.1",".",".",".",".",".","1.0","1.0","."
"","275","001","","121","3.033","4.1","33.9","42.1","12.4","5.0","0.8","1.7",".",".",".",".",".",".",".",".","."
"","275","002","","58","3.379","20.7","41.4","32.8","3.4","1.7",".",".",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","","179","3.168","9.5","36.3","39.1","9.5","3.9","0.6","1.1",".",".",".",".",".",".",".",".","."
"German Classics-Translation","276","001","","15","3.667","53.3","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jewish Literature","318","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Scandinavian Literature","324","001","","48","3.766","70.8","20.8","4.2",".",".",".","2.1","2.1",".",".",".",".",".",".",".","."
"Topics in Dutch Lit in Tran","326","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prophets of the Bible","332","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342","001","","7","2.609","57.1",".","14.3",".",".",".","28.6",".",".",".",".",".",".",".",".","."
"Fr&Ital Renaissance Lit Online","360","001","","74","2.840","13.5","21.6","39.2","5.4","6.8","6.8","5.4","1.4",".",".",".",".",".",".",".","."
"Topics in Japanese Lit","373","001","","15","3.000","6.7","60.0","13.3","6.7",".","6.7","6.7",".",".",".",".",".",".",".",".","."
"","374","001","","17","3.667","41.2","35.3","11.8",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"","374","002","","15","3.679","53.3","33.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","6.7"
"Topics in Korean Literature","","Course Total","","32","3.672","46.9","34.4","6.3",".","3.1",".",".",".",".",".",".",".","6.3",".",".","3.1"
"In Trans:Topics-Italian Lit","410","001","","61","2.991","23.0","8.2","24.6","26.2","11.5","1.6",".","3.3",".",".",".",".",".",".",".","1.6"
