"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"789
Qual Rsch Mthds-Educ: Field II","002","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"802
Spec St-Indiv w/Disablties","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803
Current Issues-Special Educ","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"820
Rehab Cnslg Psy-Theor & Iss","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840
Rehab Cnslg Psych-Grp Proc","001","","22","3.857","68.2","27.3",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"860","088","","9","3.722","77.8","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"860","089","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","090","","8","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"860","091","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Clin Prac","Course Total","","35","3.907","71.4","2.9",".",".","2.9",".",".",".",".",".",".",".",".",".","22.9","."
"870
Smr:Assessmnt in Rehab Psyc","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Rehab Cnsl Psych-Sup Prac 1","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Rehab Cnsl Psych-Sup Prac 2","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Rehab Cnsl Psych-Sup Prac 3","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"910
Rehab Cnsl Psych-Internship","001","","6","3.759","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Cnsl Supvn","Course Total","","4","***","","","","","","","","","","","","","","","",""
"921
Internship: Adv Prof Pract","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Prac Tchng","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940
Rehab Cnsl Psych-Supv Rsch","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"941","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"985
Indv/Disblty:Adv Rsch Mthds","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","8","",".",".",".",".",".",".",".","12.5",".",".",".","87.5",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","32","",".",".",".",".",".",".",".","53.1",".",".",".","46.9",".",".",".","."
"999
Independent Reading","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
