"L&S","","","","","","","","","","","","","","","","","","","","",""
"","HEBREW (HEBREW AND SEMITI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","","",""
"","102","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102","002","","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","102","003","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Hebrew","","Course Total","","20","3.816","65.0","25.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Fourth Semester Hebrew","202","001","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Food in Rabbinic Judaism","278","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Hebrew Literature","302","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Modern Jewish Literature","318","001","","16","3.656","43.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Rabbinic Lit in Tran","328","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Prophets of the Bible","332","001","","7","3.286",".","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Modern Hebrew Lit II","402","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","534","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Canaanite Dialects","704","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"The Book of Isaiah","752","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","7","3.909","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Biblical Studies","952","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"HEBR ST
440","","Dept. Total","","98","3.678","49.0","28.6","14.3","1.0",".",".",".","4.1",".",".",".","3.1",".",".",".","."
