"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
001","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
100","12","3.458","33.3","33.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","13","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","12","3.042","16.7","33.3","33.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"","100
005","13","3.538","15.4","76.9","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","10","3.550","10.0","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
100","11","2.955","27.3","27.3","9.1","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","100
008","13","3.500","15.4","69.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
009","10","3.389","20.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".","."
"","100
010","13","3.231","23.1","15.4","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","011
100","11","3.500","27.3","54.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
012","13","3.423","15.4","53.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
013","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
014","13","3.269","30.8","46.2","7.7","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"","100
015","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
100","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
017","12","3.250","16.7","41.7","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
018","13","3.692","61.5","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
019","13","3.615","30.8","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
020","12","3.500","16.7","58.3","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"","100
021","13","3.154","7.7","38.5","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","022
100","12","3.208","8.3","50.0","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
025","9","3.444","11.1","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
026","13","3.154","7.7","30.8","53.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
027","12","3.417","25.0","41.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","028
100","12","3.250","16.7","58.3","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"","100
029","13","3.577","53.8","7.7","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
030","11","3.318","9.1","54.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","031
100","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
032","13","2.885",".","46.2","23.1","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"","100
033","10","2.950",".","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
034","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
035","13","3.346","15.4","46.2","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
036","11","3.136",".","27.3","72.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","409","3.398","25.7","43.0","22.5","5.4","1.7","0.5","0.7",".",".",".",".",".",".","0.5",".","."
"","001
105","18","3.111","22.2","16.7","38.9","5.6","16.7",".",".",".",".",".",".",".",".",".",".","."
"","105
002","20","3.474","35.0","25.0","30.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","105
003","19","3.526","42.1","26.3","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","105
004","18","3.667","55.6","27.8","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","005
105","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
006","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","109","3.546","45.0","27.5","20.2","3.7","2.8",".",".","0.9",".",".",".",".",".",".",".","."
"Intro-Digital Media Production","155
001","103","3.553","34.0","49.5","11.7","2.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"Survey of Contemporary Media","250
001","177","2.889","7.3","22.0","40.7","15.8","7.9","1.7","3.4","0.6",".",".",".",".","0.6",".",".","."
"Communication & Human Behav","260
001","228","2.905","10.5","12.3","43.0","24.1","6.1","1.3","1.8",".",".",".",".",".","0.9",".",".","."
