"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","131","3.781","70.2","19.1","4.6","2.3","0.8","0.8",".","2.3",".",".",".",".",".",".",".","."
"","301
002","116","3.716","56.0","32.8","9.5","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","247","3.750","63.6","25.5","6.9","2.0","0.4","0.4",".","1.2",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","001
320","143","3.678","62.9","19.6","11.2","4.2","1.4","0.7",".",".",".",".",".",".",".",".",".","."
"","321
001","118","3.615","53.4","29.7","7.6","4.2","3.4","0.8",".","0.8",".",".",".",".",".",".",".","."
"","321
002","112","2.757","13.4","10.7","26.8","21.4","17.0","7.1","1.8",".",".",".",".",".","1.8",".",".","."
"Human Develop-Adolescence","Course Total","230","3.221","33.9","20.4","17.0","12.6","10.0","3.9","0.9","0.4",".",".",".",".","0.9",".",".","."
"Mind, Brain and Education","326
001","82","3.369","30.5","35.4","17.1","4.9","9.8",".",".","2.4",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","81","3.794","70.4","21.0","3.7","2.5","1.2",".",".","1.2",".",".",".",".",".",".",".","."
"Behavior Analysis in Classrms","541
001","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","014
699","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","699
025","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
028","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
047","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
066","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","55","3.990","96.4","1.8",".",".",".",".",".",".",".",".",".",".","1.8",".",".","."
"Seminar-Research in Ed Psyc II","710
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
711","13","4.000","76.9",".",".",".",".",".",".","7.7",".",".",".",".",".",".","15.4","."
"","711
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
008","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"","711
009","9","3.750","44.4","44.4",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","711
010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
013","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
014","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Current Topics-Ed Psych","Course Total","85","3.968","87.1","5.9",".",".",".",".",".","1.2",".",".",".",".","2.4",".","3.5","."
"Intro to Qualitative Research","719
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adolescent Development","721
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Cog Assess-Children in Schools","740
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
761","42","3.963","92.9","2.4","2.4",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"","002
761","29","3.911","79.3","17.2",".",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","Course Total","71","3.942","87.3","8.5","1.4",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Anal","773
001","33","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Learning Sciences II","796
001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
