"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","999
007","9","3.846","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
999","11","3.950","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
011","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
012","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
013","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
014","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
015","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
017","11","3.750","81.8","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","999
018","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
020","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
024","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
031","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"","999
032","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
050","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
055","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
077","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
078","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
080","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
089","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","239","3.968","95.4","1.7","1.3",".","0.4",".",".",".",".",".",".",".","1.3",".",".","."
"ART
168","Dept. Total","1676","3.714","70.6","14.5","8.5","2.1","1.3","0.2","0.7","1.0",".",".",".",".","0.6","0.1","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"Freshmen","","139","3.613","59.0","19.4","14.4","5.0","2.2",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","262","3.604","64.5","16.4","10.7","3.1","0.4","1.1","3.1",".",".",".",".",".","0.4","0.4",".","."
"Junior","","277","3.749","68.2","18.1","8.7","2.2","1.1",".","0.7","0.7",".",".",".",".","0.4",".",".","."
"Senior","","591","3.672","65.0","17.8","9.8","2.5","2.2","0.2","0.3","1.2",".",".",".",".","0.5",".",".","0.5"
"Undergraduates","","1269","3.670","64.9","17.7","10.2","2.8","1.6","0.3","0.9","0.7",".",".",".",".","0.4","0.1",".","0.2"
"Special","","46","3.875","69.6","6.5","6.5",".",".",".",".","13.0",".",".",".",".",".","2.2","2.2","."
"Graduate","","359","3.922","90.8","4.2","2.8",".","0.6",".",".","0.3",".",".",".",".","1.4",".",".","."
"Prof Yr 3","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1676","3.714","70.6","14.5","8.5","2.1","1.3","0.2","0.7","1.0",".",".",".",".","0.6","0.1","0.1","0.2"
