"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Educ-F & W Ecology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"110
Living with Wildlife","001","","176","3.046","14.8","23.3","30.7","18.8","9.1","1.7",".","1.1",".",".",".",".",".",".","0.6","."
"248","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"248","002","","7","3.571","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","Course Total","","11","3.500","18.2","63.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","026","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","054","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300
Forest Biometry","001","","13","3.346","23.1","38.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"306
Terr Vertbrt:Life Hist&Ecol","001","","51","3.382","31.4","31.4","25.5","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"335
Hum/An Relatn:Bio&Phils Iss","001","","34","2.809","11.8","8.8","41.2","5.9","32.4",".",".",".",".",".",".",".",".",".",".","."
"375","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","7","3.778","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"379
Princ-Wildlife Management","001","","52","3.310","25.0","32.7","30.8",".","3.8","3.8",".","3.8",".",".",".",".",".",".",".","."
"399","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","5","***","","","","","","","","","","","","","","","",""
"410
Principles of Silviculture","001","","21","3.111","33.3","4.8","23.8","23.8","4.8","4.8",".","4.8",".",".",".",".",".",".",".","."
"460
General Ecology","001","","9","2.333","11.1",".","33.3",".","33.3","22.2",".",".",".",".",".",".",".",".",".","."
"515
Renewable Resources Policy","001","","22","3.227","18.2","31.8","36.4","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","11","3.000","27.3","18.2","36.4",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"599
Wildlife Research Capstone","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Conservation Biology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"652
Decisn Meth-Nat Resrc Mangr","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"655
Animal Population Dynamics","001","","40","3.288","25.0","35.0","20.0","12.5","7.5",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","","Page 24 of 409"
