"","990
057","3","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
063","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
064","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research and Thesis","Course Total","9","",".",".",".",".","",".","",".","",".","100.0",".",".",".","",".","",".",".",".","."
"ANATOMY
144","Dept. Total","144","3.830","84.7","3.5","4.2","1.4","",".","",".","",".","6.3",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Junior","","15","3.935","93.3","6.7",".",".","",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Senior","","41","3.886","95.1",".","2.4","2.4","",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Undergraduates","","58","3.905","94.8","1.7","1.7","1.7","",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Special","","16","3.714","68.8","12.5","18.8",".","",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Graduate","","23","3.533","39.1","8.7","8.7","4.3","",".","",".","",".","39.1",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","46","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Professionals","","47","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"","Dept. Total","144","3.830","84.7","3.5","4.2","1.4","",".","",".","",".","6.3",".",".",".","",".","",".",".",".","."
