"L&S","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","274","3.262","25.9","24.1","29.6","17.9","1.8",".","0.4","0.4",".",".",".",".",".",".",".","."
"","103
002","174","3.170","18.4","29.9","29.3","15.5","5.7","0.6","0.6",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","448","3.226","23.0","26.3","29.5","17.0","3.3","0.2","0.4","0.2",".",".",".",".",".",".",".","."
"","001
104","283","3.145","29.3","18.4","20.1","18.4","12.4","0.7","0.4",".",".",".",".",".","0.4",".",".","."
"","104
002","285","3.142","29.5","18.9","18.6","19.3","12.6","0.7","0.4",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","568","3.144","29.4","18.7","19.4","18.8","12.5","0.7","0.4",".",".",".",".",".","0.2",".",".","."
"Ideas of Modern Physics","107
001","61","3.397","29.5","26.2","29.5","9.8",".",".",".","4.9",".",".",".",".",".",".",".","."
"","109
001","110","3.372","31.8","35.5","18.2","9.1","2.7",".","1.8","0.9",".",".",".",".",".",".",".","."
"","109
002","107","3.505","42.1","29.9","17.8","7.5","2.8",".",".",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","217","3.438","36.9","32.7","18.0","8.3","2.8",".","0.9","0.5",".",".",".",".",".",".",".","."
"Energy","115
001","78","3.083","20.5","23.1","21.8","21.8","12.8",".",".",".",".",".",".",".",".",".",".","."
"","199
097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"General Physics","201
001","267","2.867","21.7","15.7","17.6","17.6","21.0","4.9","1.1",".",".",".",".",".","0.4",".",".","."
"","202
001","150","2.573","14.0","4.7","28.7","8.7","34.7","8.0","1.3",".",".",".",".",".",".",".",".","."
"","002
202","304","2.763","18.4","7.6","29.9","8.2","30.3","5.3","0.3",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","454","2.700","17.0","6.6","29.5","8.4","31.7","6.2","0.7",".",".",".",".",".",".",".",".","."
"Mod Physics for Engineers","205
001","32","2.887","34.4","9.4","15.6",".","28.1","6.3","3.1",".",".",".",".",".",".","3.1",".","."
"","206
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","206
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","206
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Physics","Course Total","3","***","","","","","","","","","","","","","","","",""
"General Physics","207
001","144","3.175","19.4","25.7","29.2","16.7","5.6","0.7",".",".",".",".",".",".",".",".",".","2.8"
"General Physics","208
001","290","3.117","20.0","24.1","29.7","17.9","5.5","2.4","0.3",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","30","3.367","36.7","23.3","23.3","10.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","001
248","45","3.159","24.4","26.7","24.4","13.3","4.4","2.2","2.2",".",".",".",".",".","2.2",".",".","."
"Intro-Medical Physics","265
001","12","3.125","8.3","25.0","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","299
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
045","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","3.885","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physics Today","301
001","32","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308
001","23","3.674","56.5","21.7","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308
002","23","3.674","47.8","39.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Lab-Electromag","Course Total","46","3.674","52.2","30.4","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics","311
001","51","3.122","17.6","21.6","31.4","17.6","7.8",".",".",".",".",".",".",".",".","2.0",".","2.0"
"Electromagnetic Fields","001
322","34","3.266","35.3","8.8","41.2",".","5.9",".","2.9","5.9",".",".",".",".",".",".",".","."
"Wave Motion and Optics","325
001","24","3.304","33.3","20.8","25.0","12.5",".","4.2",".",".",".",".",".",".","4.2",".",".","."
"Advanced Laboratory","407
001","23","3.411","17.4","47.8","26.1","4.3",".",".",".",".",".",".",".",".","4.3",".",".","."
"Thermal Physics","415
001","23","3.565","39.1","43.5","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
