"Intro-Sci Comput for Engr Phys","476
001","","7","3.571","57.1",".","42.9",".","",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"Engineering Analysis II","548
001","","3","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research Pract-Engr Physics I","568
001","","5","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research Pract-Engr Physics II","569
001","","9","3.833","22.2","11.1",".",".","",".",".","",".","",".","",".","",".",".","",".","","66.7",".",".","."
"E P
347","Dept. Total","","45","3.779","55.6","15.6","8.9",".","",".","",".","",".","",".","",".",".","",".","",".","20.0",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","3","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","38","3.753","50.0","15.8","10.5",".","",".","",".","",".","",".","",".",".","",".","",".","23.7",".",".","."
"Undergraduates","","","41","3.767","53.7","14.6","9.8",".","",".","",".","",".","",".","",".",".","",".","",".","22.0",".",".","."
"Graduate","","","4","3.875","75.0","25.0",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","45","3.779","55.6","15.6","8.9",".","",".","",".","",".","",".","",".",".","",".","",".","20.0",".",".","."
