"GEOLOGY & GEOPHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"","100","001","142","3.304","20.4","39.4","24.6","7.7","6.3",".",".","0.7",".",".",".",".","0.7",".",".","."
"","100","002","122","3.042","18.0","22.1","30.3","15.6","8.2","3.3","0.8","0.8",".",".",".",".",".",".","0.8","."
"General Geology","","Course Total","264","3.183","19.3","31.4","27.3","11.4","7.2","1.5","0.4","0.8",".",".",".",".","0.4",".","0.4","."
"Survey of Oceanography","105","001","16","3.375","31.3","25.0","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","85","3.074","18.8","21.2","25.9","21.2","4.7","3.5",".","3.5",".",".",".",".",".",".",".","1.2"
"Evolution and Extinction","110","001","170","2.924","33.5","10.6","20.6","4.7","20.0","7.6","2.9",".",".",".",".",".",".",".",".","."
"Sci Behind News-Wrld Around Us","115","001","139","2.883","15.1","12.9","33.1","13.7","17.3","2.2","1.4","1.4",".",".",".",".","0.7","2.2",".","."
"Life in the Universe","160","001","42","2.821","11.9","19.0","23.8","26.2","14.3","2.4","2.4",".",".",".",".",".",".",".",".","."
"Directed Study","199","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Geologic Evolution of Earth","204","001","81","2.775","12.3","8.6","29.6","25.9","19.8","1.2","1.2","1.2",".",".",".",".",".",".",".","."
"Geomorphology","320","001","8","3.500","50.0","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","12","3.333","33.3","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Gems: Sci Behind the Sparkle","331","001","192","3.414","43.8","21.4","18.8","12.0","1.6","0.5","1.6","0.5",".",".",".",".",".",".",".","."
"Intro Geophysics:Dynmic  Earth","350","001","13","3.192","23.1","46.2","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"Elementary Petrology","370","001","48","2.688","20.8","16.7","18.8","16.7","8.3","12.5","6.3",".",".",".",".",".",".",".",".","."
"Principles of Geochemistry","375","001","23","3.273","34.8","8.7","26.1","26.1",".",".",".",".",".",".",".",".",".","4.3",".","."
"Topics in Geology","376","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Geology","455","001","27","3.000","25.9","25.9","22.2","3.7","11.1","7.4","3.7",".",".",".",".",".",".",".",".","."
"Conducted Field Trip","457","001","16","3.400","31.3","12.5","50.0",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Rock Mechanics","474","001","8","3.375","25.0","50.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Econ Geology","515","001","16","3.156","25.0","18.8","25.0","25.0","6.3",".",".",".",".",".",".",".",".",".",".","."
"Contaminant Hydrogeology","629","001","9","3.222","22.2","11.1","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Directed Study","698","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Advanced Hydrogeology","727","001","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Interfacial Biogeochemistry","776","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Electron Microprobe Anal","777","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","003","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 221 of 409",""
