"L&S","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY
970","Dept. Total","2057","3.006","31.9","11.4","26.7","6.3","12.7","5.1","2.0","3.1","",".",".","",".","0.2","0.2",".","0.2","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","163","2.519","17.8","15.3","20.2","9.2","20.2","12.9","4.3",".","",".",".","",".",".",".",".",".","."
"Sophomore","","394","2.820","20.3","12.4","35.0","6.6","15.5","6.3","3.3",".","",".",".","",".",".","0.3",".",".","0.3"
"Junior","","496","2.996","27.0","12.9","33.3","7.7","14.5","2.6","1.8",".","",".",".","",".",".","0.2",".",".","."
"Senior","","844","3.141","41.2","10.7","24.3","5.5","11.1","5.3","1.3",".","",".",".","",".","0.1","0.2",".","0.2","."
"Undergraduates","","1897","2.983","31.2","12.0","28.5","6.6","13.7","5.5","2.1",".","",".",".","",".","0.1","0.2",".","0.1","0.1"
"Special","","40","3.386","32.5","12.5","15.0","7.5","2.5",".","2.5","17.5","",".",".","",".",".","2.5",".","7.5","."
"Graduate","","119","3.843","44.5","0.8","2.5","1.7",".",".",".","47.1","",".",".","",".","3.4",".",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","Dept. Total","2057","3.006","31.9","11.4","26.7","6.3","12.7","5.1","2.0","3.1","",".",".","",".","0.2","0.2",".","0.2","0.0"
