"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"FOOD SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","5","",".",".",".",".",".",".",".",".",".","100.0","",".",".",".",".",".","."
"Sophomore","41","2.811","7.3","2.4","19.5","12.2","2.4","2.4",".",".",".","51.2","",".",".","2.4",".",".","."
"Junior","99","2.846","23.2","14.1","18.2","15.2","12.1","6.1",".",".",".","11.1","",".",".",".",".",".","."
"Senior","310","3.096","33.9","20.6","21.0","8.4","8.7","3.9","0.3","0.3",".","1.6","",".",".","1.0",".","0.3","."
"Undergraduates","455","3.024","28.8","17.4","20.0","10.1","8.8","4.2","0.2","0.2",".","9.2","",".",".","0.9",".","0.2","."
"Special","10","3.614","50.0","20.0","20.0",".",".",".",".","10.0",".",".","",".",".",".",".",".","."
"Graduate","105","3.673","22.9","10.5","6.7",".",".",".",".","46.7","1.0",".","",".","12.4",".",".",".","."
"Prof Yr 4","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
