"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","",""
"","100
001","15","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","15","3.733","80.0","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","005
100","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
100","13","3.692","76.9","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","100
007","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
100","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","119","3.773","70.6","20.2","7.6",".",".","1.7",".",".",".",".",".",".",".",".",".","."
"","212
001","19","3.778","68.4","10.5","15.8",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","002
212","17","3.559","35.3","41.2","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","19","3.789","73.7","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","55","3.713","60.0","21.8","14.5","1.8",".",".",".",".",".",".",".",".","1.8",".",".","."
"Science, Media and Society","251
001","124","3.177","22.6","31.5","27.4","7.3","7.3","2.4","1.6",".",".",".",".",".",".",".",".","."
"","299
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
024","9","3.932","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","11","3.944","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","001
332","18","3.861","83.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
041","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","8","3.974","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Media for Life Sciences","001
432","24","3.604","58.3","16.7","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","27","3.611","40.7","40.7","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Native Amer Envir Iss & Media","444
001","26","3.660","65.4","7.7","15.4","3.8","3.8",".",".",".",".",".",".",".",".",".","3.8","."
"Photography for the Sciences","450
001","18","3.778","77.8","11.1","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
001","25","3.600","72.0",".","16.0",".","12.0",".",".",".",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","20","3.575","65.0","10.0","10.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","616
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Case Studies-Com of Sci & Tech","640
001","17","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","15","3.890","73.3","20.0",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Colloq in Life Sci Communicatn","700
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Concep&Design-Mass Com Rsch","806
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","875
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
875","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Special Topics","Course Total","20","3.921","80.0","15.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Topics in Mass Communication","880
030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 5 of 409"
