"BUS","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","64","2.898","26.6","4.7","40.6","3.1","17.2","3.1","4.7",".",".",".",".",".",".",".",".","."
"","300
002","94","2.883","26.6","6.4","40.4",".","14.9","8.5","3.2",".",".",".",".",".",".",".",".","."
"","010
300","139","2.854","21.6","11.5","33.8","5.8","17.3","4.3","4.3",".","0.7",".",".",".","0.7",".",".","."
"","300
011","10","3.000","20.0","10.0","40.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","307","2.877","24.1","8.5","37.5","3.6","16.6","5.2","3.9",".","0.3",".",".",".","0.3",".",".","."
"","001
305","60","3.417","23.3","48.3","20.0","5.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"","305
002","40","3.359","25.0","35.0","27.5","5.0","5.0",".",".",".",".",".",".",".","2.5",".",".","."
"Human Resource Management","Course Total","100","3.394","24.0","43.0","23.0","5.0","4.0",".",".",".",".",".",".",".","1.0",".",".","."
"Social Entrepreneurship","321
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","47","3.340","17.0","40.4","36.2","6.4",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","28","3.286","21.4","25.0","46.4","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","Course Total","75","3.320","18.7","34.7","40.0","5.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"","365
001","37","3.824","81.1","13.5",".",".","5.4",".",".",".",".",".",".",".",".",".",".","."
"","002
365","19","3.361","26.3","15.8","52.6",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"Contemporary Topics","Course Total","56","3.673","62.5","14.3","17.9",".","3.6",".",".",".",".",".",".",".",".",".","1.8","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
063","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
123","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","5","***","","","","","","","","","","","","","","","",""
"","001
401","39","3.692","51.3","35.9","12.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
002","25","3.400","4.0","72.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","Course Total","64","3.578","32.8","50.0","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","403
001","32","3.828","68.8","28.1","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","412
001","10","3.000","20.0","20.0","30.0",".","30.0",".",".",".",".",".",".",".",".",".",".","."
"","422
001","24","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","30","3.533","36.7","40.0","20.0",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","54","3.574","38.9","40.7","18.5",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"","001
423","39","3.436","28.2","33.3","35.9","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","423
002","38","3.447","21.1","50.0","26.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","77","3.442","24.7","41.6","31.2","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","45","3.578","44.4","33.3","15.6","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","434
001","35","3.221","22.9","40.0","17.1","8.6","2.9","2.9","2.9","2.9",".",".",".",".",".",".",".","."
"","434
002","21","3.310","28.6","19.0","42.9","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","Course Total","56","3.255","25.0","32.1","26.8","7.1","3.6","1.8","1.8","1.8",".",".",".",".",".",".",".","."
"Technology Entrepreneurship","441
001","20","3.184","40.0","5.0","20.0","10.0","20.0",".",".",".",".",".",".",".",".","5.0",".","."
"","612
001","29","3.948","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","Course Total","39","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
628","35","3.814","62.9","37.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
002","33","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","68","3.838","72.1","23.5","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","030
704","48","3.823","83.3","8.3","2.1","2.1","4.2",".",".",".",".",".",".",".",".",".",".","."
