"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"","854
022","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
023","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clinical Program","Course Total","206","",".",".",".",".",".",".",".","92.7",".",".",".",".",".",".",".","7.3"
"Institutionalized Persons","862
001","19","",".",".",".",".",".",".",".","68.4",".",".",".",".",".",".",".","31.6"
"International Tax","870
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Legal Iss: N Amer & E Asia","872
001","12","1.636",".",".","50.0",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Wisconsin Internl Law Journ","895
001","64","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Wisconsin Journal of Law","896
001","31","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","79","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","904
001","34","1.588","8.8",".","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","904
002","10","0.400","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","904
003","20","1.600","10.0",".","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law Seminar","Course Total","64","1.406","9.4",".","34.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bioethics and the Law","905
001","77","0.920","1.3",".","27.3",".","1.3",".",".",".",".",".",".",".","2.6",".",".","."
"Probs-Criminal Justice Adm","915
001","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","918
001","11","2.150","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"","918
002","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Problems: Intl Law Seminar","Course Total","22","2.150","13.6","4.5","9.1",".",".",".",".","50.0",".",".",".",".",".",".","4.5","."
"Problems- Land Law Seminar","928
001","10","1.556","20.0",".","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","940
001","41","1.220","9.8",".","24.4",".","4.9",".",".",".",".",".",".",".",".",".",".","."
"","940
002","58","1.634","3.4",".","29.3",".","6.9",".",".","29.3",".",".",".",".",".",".",".","."
"","003
940","29","1.483","10.3",".","31.0",".","6.9",".",".",".",".",".",".",".",".",".",".","."
"","940
004","10","2.100","40.0",".",".",".","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"","940
005","16","1.250","18.8",".","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","007
940","15","1.667","13.3",".","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
008","17","0.941","5.9",".","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
010","8","3.286","50.0","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","012
940","26","2.154","19.2",".","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
940","24","1.625","29.2",".","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","940
021","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","940
022","17","0.882","11.8",".","5.9",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"","940
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Law & Contemporary Problems","Course Total","276","1.534","13.4","0.7","23.2",".","5.1","0.4",".","11.2",".",".",".",".","0.4",".",".","."
"","950
001","45","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","950
002","36","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","950
003","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","950
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Lawyering Skills Course","Course Total","97","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Problems:Bus Org-Seminar","953
001","29","0.889",".",".","27.6",".",".",".",".","3.4",".",".",".",".",".",".","3.4","."
"","990
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","Page 334 of 409",""
