"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"201
Discovering Food Science","001","","42","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","23","3.929","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
Intro to Sci & Technol of Food","001","","75","2.880","8.0","25.3","26.7","25.3","9.3","5.3",".",".",".",".",".",".",".",".",".","."
"305
Intro-Meat Sci & Technology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","52","3.570","50.0","26.9","9.6","5.8","1.9","1.9",".",".",".",".",".",".","3.8",".",".","."
"375","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"412
Food Analysis","001","","43","2.881","18.6","18.6","14.0","27.9","11.6","7.0",".",".",".",".",".",".","2.3",".",".","."
"432
Principles-Food Preservation","001","","65","2.523","15.4","7.7","27.7","4.6","26.2","16.9","1.5",".",".",".",".",".",".",".",".","."
"511
Chem & Technol-Dairy Products","001","","24","3.609","41.7","33.3","20.8",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"514
Integrated Food Functionality","001","","37","3.000","16.2","13.5","43.2","8.1","18.9",".",".",".",".",".",".",".",".",".",".","."
"537
Org&Mgmt-Nutritn&Food Serv","001","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Fermented Foods and Beverages","001","","33","3.094","12.1","18.2","48.5","12.1","6.1",".",".","3.0",".",".",".",".",".",".",".","."
"603
Senior Seminar","001","","37","3.527","40.5","35.1","16.2","5.4","2.7",".",".",".",".",".",".",".",".",".",".","."
"610
Food Proteins","001","","15","3.607","33.3","46.7","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"611
Chem & Technol-Dairy Products","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"642
Food & Phmaceut Separations","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"900
Seminar Advanced","001","","37","3.773","18.9","8.1","2.7",".",".",".",".","67.6","2.7",".",".",".",".",".",".","."
"990","009","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","","Page 22 of 409"
