"LANGUAGES & CULTURES OF A Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultures of Asia","100","001","","51","3.560","49.0","25.5","17.6","2.0","2.0","2.0",".",".",".",".",".",".","2.0",".",".","."
"Introduction to the Qur'an","206","001","","12","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Genres-Asian Religious Writing","235","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Bascom Course","236","001","","16","3.000","18.8","25.0","12.5","25.0","6.3","6.3",".","6.3",".",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246","001","","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cen Asia: Silk Route-Afghan","265","001","","12","3.333","25.0","41.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to the Middle East","266","001","","83","3.608","49.4","27.7","19.3","2.4","1.2",".",".",".",".",".",".",".",".",".",".","."
"Topics in LCA","300","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literatures-Muslim Societies","357","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","","10","3.556","40.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"Thought of Gandhi","402","001","","20","3.441","35.0","25.0","10.0","10.0","5.0",".",".",".",".",".",".",".","5.0","10.0",".","."
"Buddhism&Soc-SE Asian Hist","438","001","","15","3.115","33.3","6.7","13.3","26.7",".","6.7",".","6.7",".",".",".",".","6.7",".",".","."
"Hist SE Asia Since 1800","458","001","","10","3.514","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar: Cultures of Asia","630","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar-Central Asian Hist","640","001","","11","3.667","36.4","36.4","9.1",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"Proseminar:Literatures of Asia","666","001","","13","3.808","84.6","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","682","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Topics in Religions of Asia","802","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Lang & Lit of S Asia","873","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
