"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","272
101","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","272
102","7","3.286","28.6","14.3","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","272
103","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","272
104","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 4","Course Total","22","3.591","50.0","22.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Bl Mus-Voc/Tromb/Misc Instr","309
001","12","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Topics in Music & Ethnicity-US","319
001","29","3.586","62.1","10.3","20.7","3.4",".","3.4",".",".",".",".",".",".",".",".",".","."
"Jazz Improvisation","332
001","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","346
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Concepts of Music","351
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","361
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
361","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Non-Western Music Performnc","Course Total","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","40
001","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","405
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","405
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Cultural Study of Music","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concert Band","41
001","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Renaissance","412
001","9","3.333","44.4","22.2","11.1",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Romantic Era","415
001","19","3.289","31.6","21.1","36.8","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"Survey Music-20th C","416
001","10","3.600","70.0",".","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Varsity Band","42
001","270","3.991","98.5","1.1","0.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
001","87","3.954","98.9",".",".",".",".",".","1.1",".",".",".",".",".",".",".",".","."
"","43
002","66","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
003","54","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","207","3.981","99.5",".",".",".",".",".","0.5",".",".",".",".",".",".",".",".","."
"Collegium Musicum","461
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Language Diction-Singing II","468
001","14","3.429","64.3","7.1","7.1","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","Page 268 of 409",""
