"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","409","3.744","72.1","15.6","6.6","2.2","1.7","0.5","0.5","0.2","0.2",".",".",".","0.2",".",".","."
"Voice Training","140
001","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","18","3.361","66.7",".","11.1","5.6","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","003
150","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","18","3.676","61.1","27.8",".",".",".","5.6",".",".",".",".",".",".","5.6",".",".","."
"","150
005","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","16","3.844","87.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","150
010","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","125","3.806","80.8","12.0","1.6","0.8","2.4","0.8","0.8",".",".",".",".",".","0.8",".",".","."
"Intro to Stage Production","001
160","15","3.800","73.3","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","161
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","162
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Voice Training","240
001","9","3.389","44.4",".","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","250
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collaborative Arts Perform Lab","259
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Javanese Performance","321
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Traditions in Dramatic Lit","324
001","47","3.889","78.7","12.8","4.3",".",".",".",".",".",".",".",".",".",".","4.3",".","."
"Fundamentals-Movemnt for Stage","342
001","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
001","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
002","17","3.588","58.8","35.3",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","357
003","17","3.676","47.1","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","52","3.721","61.5","32.7","3.8",".",".",".","1.9",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","15","3.900","93.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","24","3.938","95.8",".",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363
001","18","3.648","55.6","33.3",".","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","366
001","8","3.617","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","366
002","8","3.817","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","16","3.717","68.8","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Set Design I","372
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp World Theatre & Lit","001
424","28","3.446","39.3","28.6","17.9","10.7","3.6",".",".",".",".",".",".",".",".",".",".","."
"Musical Performnc for Actor","440
001","21","3.476","57.1",".","33.3",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"Costume Technology Topics","464
001","7","3.071","14.3","28.6","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting Design II","466
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","469
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","469
002","7","3.571","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","Page 320 of 409",""
