"INDUSTRIAL & SYSTEMS ENGR","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Engineerng Economc Analysis","313","001","122","3.246","39.3","17.2","22.1","9.0","7.4","3.3","1.6",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","57","3.816","70.2","22.8","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","38","3.289","26.3","21.1","42.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","321","001","20","3.325","30.0","25.0","35.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","321","002","18","3.250","22.2","16.7","50.0","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","38","3.289","26.3","21.1","42.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","51","3.210","31.4","9.8","33.3","15.7","7.8",".",".","2.0",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","73","3.917","86.3","9.6","1.4","1.4",".",".",".",".",".",".",".",".",".",".","1.4","."
"Junior Design Laboratory","350","001","53","3.943","88.7","11.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","44","3.489","25.0","52.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","44","3.727","65.9","22.7","9.1",".",".","2.3",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Projects","476","001","30","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Decision Analysis","516","001","26","3.615","57.7","23.1","7.7","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","12","2.636","16.7",".","16.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".","8.3","."
"Human Perform&Accidnt Cause","555","001","63","3.857","81.0","11.1","6.3","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Patient Safety&Error Reduction","559","001","29","3.931","89.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Occupatnl Ergonics&Biomechancs","564","001","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Risk Anal Nuc Pwr Plnt","574","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Quality Engineering","575","001","52","3.577","48.1","40.4","5.8","1.9",".","1.9","1.9",".",".",".",".",".",".",".",".","."
"Production Systems Control","615","001","28","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Information Systems","617","001","24","3.750","66.7","20.8","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling & Analysis","620","001","39","3.724","53.8","33.3","10.3",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"","632","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","632","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tools & Envirnmt-Optimizatn","635","001","19","3.421","31.6","26.3","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Design & Anal-Manufact Sys","641","001","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn & Hum Disablty & Aging","662","001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","691","001","19","3.941","78.9","10.5",".",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","036","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","037","4","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 131 of 409",""
