"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","83","3.247","13.3","53.0","25.3","3.6",".","1.2","3.6",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","85","3.388","31.8","41.2","14.1","5.9","4.7","1.2","1.2",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","400
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
006","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","007
401","9","3.936","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
008","10","3.745","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
401","15","3.968","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
010","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
016","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
017","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
018","11","3.900","72.7","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","401
019","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","401
020","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","029
401","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","125","3.933","87.2","8.0","2.4",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Poverty and Social Welfare","420
001","25","3.020","4.0","56.0","16.0","12.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","440
001","26","3.692","50.0","38.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
002","16","3.933","87.5",".","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Prac I:Foundatn-Generalst Prac","Course Total","42","3.780","64.3","23.8","9.5",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"","441
001","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
002","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
441","16","3.563","31.3","56.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Prac II: Individls, Fam, Grps","Course Total","39","3.615","33.3","59.0","5.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","001
442","32","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
002","22","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
003","26","3.808","65.4","30.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
004","25","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"","442
005","16","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Prac III: Generalist-Comm&Orgs","Course Total","121","3.863","48.8","16.5","0.8",".",".",".",".",".",".",".",".",".",".",".","33.9","."
"Alcohol & Other Drug Abuse","001
453","112","3.396","31.3","29.5","27.7","8.0","2.7",".",".","0.9",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","92","3.223","15.2","40.2","27.2","13.0","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"Child Welfare","462
001","24","3.542","29.2","54.2","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Social Work","579
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Policy","606
001","47","3.228","17.0","31.9","31.9","12.8","4.3",".",".",".",".",".",".",".",".",".","2.1","."
"","640
001","53","3.962","90.6","7.5",".",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"","002
640","18","3.639","33.3","61.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
003","16","3.250",".","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
640","9","3.611","22.2","77.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","Course Total","96","3.747","58.3","32.3","7.3","1.0",".",".",".",".",".",".",".",".","1.0",".",".","."
"","644
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
002","32","3.597","43.8","34.4","12.5","6.3",".",".",".",".",".",".",".",".","3.1",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","Page 303 of 409",""
