"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","16","3.594","56.3","25.0","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","101
002","20","3.579","60.0","25.0",".","5.0",".",".","5.0","5.0",".",".",".",".",".",".",".","."
"","101
004","20","3.632","60.0","25.0",".","5.0",".","5.0",".","5.0",".",".",".",".",".",".",".","."
"","101
006","20","3.375","30.0","25.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
007","11","3.500","45.5","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","008
101","22","3.432","40.9","31.8","4.5","18.2","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
009","13","3.583","30.8","46.2","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","101
012","11","3.273","36.4","27.3","9.1","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","133","3.500","45.9","28.6","9.8","9.0","3.0","0.8","0.8","2.3",".",".",".",".",".",".",".","."
"","102
001","14","3.286","35.7","21.4","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"","102
002","21","3.548","52.4","14.3","28.6",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","102
004","20","3.139","15.0","35.0","20.0","10.0","5.0","5.0",".","5.0","5.0",".",".",".",".",".",".","."
"","102
006","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","22","2.682","22.7","9.1","18.2","18.2","18.2","9.1","4.5",".",".",".",".",".",".",".",".","."
"","102
010","6","3.375","16.7","16.7","33.3",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","105","3.272","35.2","21.0","21.0","8.6","6.7","2.9","1.0","2.9","1.0",".",".",".",".",".",".","."
"","203
002","18","2.944","11.1","27.8","22.2","16.7","22.2",".",".",".",".",".",".",".",".",".",".","."
"","004
203","21","3.286","14.3","52.4","14.3","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","203
005","22","3.477","36.4","36.4","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","203
007","17","3.344","17.6","35.3","35.3","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"","203
008","10","3.500","40.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","88","3.299","22.7","37.5","21.6","10.2","6.8",".",".","1.1",".",".",".",".",".",".",".","."
"","204
001","16","2.833",".","31.3","37.5","12.5","6.3",".","6.3","6.3",".",".",".",".",".",".",".","."
"","003
204","9","3.222","22.2","44.4","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","204
004","12","3.250","25.0","8.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","204
006","23","3.217","13.0","52.2","21.7","8.7",".",".","4.3",".",".",".",".",".",".",".",".","."
"","204
008","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","67","3.167","14.9","37.3","32.8","7.5","1.5","1.5","3.0","1.5",".",".",".",".",".",".",".","."
"","001
228","15","3.549","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","23","3.363","21.7","43.5","26.1","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","003
228","21","3.344","33.3","28.6","19.0","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"","228
004","16","3.613","37.5","37.5","18.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","228
005","23","3.320","17.4","65.2","4.3",".","4.3",".","4.3",".",".",".",".",".",".",".","4.3","."
"Intermed Language & Culture","Course Total","98","3.417","27.6","43.9","18.4","3.1","4.1",".","1.0","1.0",".",".",".",".",".",".","1.0","."
"","271
001","11","3.645","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
271","12","3.538","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","34","3.650","47.1","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practical French Converstn","302
001","40","3.987","92.5","2.5",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Adv Composition & Conversation","311
001","17","3.813","58.8","35.3",".",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"Adv Oral & Written Expression","312
001","7","2.786","42.9","14.3","14.3",".",".","14.3","14.3",".",".",".",".",".",".",".",".","."
"","321
001","9","3.611","66.7","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","002
321","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","Page 215 of 409",""
