"PROFESSIONAL ORIENTATION","Section","#","","Ave","A","AB","","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"812
PRO OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Career Orientation","200
002","","17","3.941","94.1",".","","5.9",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"PRO OR
812","Dept. Total","","17","3.941","94.1","",".","5.9",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"812
PRO OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","5","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","9","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","14","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","3","3.667","66.7","",".","33.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","17","3.941","94.1","",".","5.9",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
