"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"Principles-Envrnmtl Science","126
001","17","3.235","29.4","5.9","52.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","157
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","157
002","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","157
004","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
005","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
006","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
007","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
008","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
010","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Bradley Roundtable Seminar","Course Total","78","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","199
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Thinkng & Expressn","200
001","67","3.896","79.1","20.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Phil II","202
001","74","3.169","12.2","32.4","40.5","9.5","4.1","1.4",".",".",".",".",".",".",".",".",".","."
"W Cul:Pol,Econ&Soc Thght II","206
001","53","3.240","22.6","37.7","20.8","9.4","3.8","1.9","1.9",".",".",".",".",".","1.9",".",".","."
"Genres-Westrn Relig Writing","234
001","11","3.091","18.2","27.3","36.4","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"Contemporary Phy Sciences","251
001","11","3.600","54.5",".","36.4",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","275
001","36","3.750","75.0","16.7","5.6",".",".",".","2.8",".",".",".",".",".",".",".",".","."
"","002
275","21","3.921","76.2","14.3",".",".",".",".",".","4.8",".",".",".",".","4.8",".",".","."
"Special Topics in ILS","Course Total","57","3.809","75.4","15.8","3.5",".",".",".","1.8","1.8",".",".",".",".","1.8",".",".","."
"Directed Study","299
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Peer Mentor Seminar","357
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Integration Seminar","400
001","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Culture Capstone Smr","401
001","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ILS
500","Dept. Total","459","3.591","47.3","16.1","13.3","3.1","1.3","0.7","0.4","0.2",".","17.0",".",".","0.7",".",".","."
