"","999
067","4","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
069","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
203","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","30","4.000","80.0",".",".",".",".",".","",".","3.3","",".",".","",".",".","13.3",".","3.3","."
"ELPA
305","Dept. Total","532","3.901","69.2","8.3","0.9","0.4","0.8","0.6","",".","11.3","",".",".","",".","3.4","4.3","0.2","0.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","18","3.658","55.6","38.9",".",".",".","5.6","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","8","3.708","75.0",".",".","12.5","12.5",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","6","3.955","83.3","16.7",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","13","3.826","76.9","15.4",".",".",".","7.7","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","45","3.777","68.9","22.2",".","2.2","2.2","4.4","",".",".","",".",".","",".",".",".",".",".","."
"Special","","27","3.962","92.6","7.4",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","466","3.903","66.7","6.9","1.1","0.2","0.6","0.2","",".","12.9","",".","1.9","",".","3.9","4.7","0.2","0.6","."
"Prof Yr 3","","3","4.000","33.3",".",".",".",".",".","",".",".","",".",".","",".",".","33.3",".","33.3","."
"Professionals","","3","4.000","33.3",".",".",".",".",".","",".",".","",".",".","",".",".","33.3",".","33.3","."
"","Dept. Total","541","3.901","68.0","8.1","0.9","0.4","0.7","0.6","",".","11.1","",".","1.7","",".","3.3","4.3","0.2","0.7","."
