"","991
082","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"","991
108","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"","991
115","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"Directed Reading","Course Total","8","",".",".",".",".",".",".",".","87.5",".",".",".","",".","12.5",".",".","."
"LAW
528","Dept. Total","2687","1.203","7.0","0.3","17.4",".","2.6","0.1","0.1","28.0","0.0",".",".","",".","0.3",".","0.2","0.9"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"Senior","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Undergraduates","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Special","","46","1.794","17.4","8.7","10.9",".","2.2",".",".","19.6","2.2",".",".","",".","4.3",".",".","."
"Graduate","","11","3.833","45.5","27.3",".",".",".",".",".","27.3",".",".",".","",".",".",".",".","."
"Prof Yr 1","","802","1.093","7.7",".","24.4",".","3.1","0.1",".",".",".",".",".","",".",".",".",".","."
"Prof Yr 2","","652","1.352","6.9",".","15.3",".","2.1",".","0.2","39.3",".",".",".","",".","0.8",".",".","1.5"
"Prof Yr 3","","975","1.224","4.9",".","13.0",".","2.4","0.1","0.2","46.2",".",".",".","",".",".",".","0.5","1.4"
"Prof Yr 4","","200","1.200","9.0",".","20.0",".","3.5",".","0.5","17.0",".",".",".","",".",".",".",".","."
"Professionals","","2629","1.182","6.6",".","17.6",".","2.6","0.1","0.2","28.1",".",".",".","",".","0.2",".","0.2","0.9"
"","Dept. Total","2687","1.203","7.0","0.3","17.4",".","2.6","0.1","0.1","28.0","0.0",".",".","",".","0.3",".","0.2","0.9"
