"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"","620
001","","43","3.256","18.6","44.2","20.9","7.0","7.0","2.3",".",".",".",".",".",".",".",".",".","."
"","620
002","","37","3.243","27.0","27.0","18.9","21.6","5.4",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","","80","3.250","22.5","36.3","20.0","13.8","6.3","1.3",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","001
621","","17","3.441","35.3","29.4","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","630
001","","60","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
001","","45","3.778","64.4","26.7","8.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
002","","43","3.756","67.4","16.3","16.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech, Risk&Assurance Serv","Course Total","","88","3.767","65.9","21.6","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","702
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
706","","16","3.625","56.3","12.5","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","","10","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","","26","3.577","53.8","7.7","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","710
031","","33","3.727","60.6","24.2","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation of Pass-Thru Entities","722
001","","24","3.646","37.5","54.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxatn/Cross-Juris Transactns","725
001","","25","3.820","72.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","","24","3.833","70.8","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","771
001","","32","3.953","90.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
771","","33","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strateg Cost Mgmt&Perf","Course Total","","65","3.954","90.8","9.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","","6","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"","990
075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
122","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","999
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
122","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
