"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","10","3.952","80.0","10.0",".",".","",".","",".","",".",".","",".",".","",".",".",".",".","10.0","."
"Junior","33","3.985","87.9","3.0",".",".","",".","",".","",".",".","",".",".","",".",".",".",".","9.1","."
"Senior","56","4.000","98.2",".",".",".","",".","",".","",".",".","",".",".","",".",".",".",".","1.8","."
"Undergraduates","100","3.992","93.0","2.0",".",".","",".","",".","",".",".","",".",".","",".",".",".",".","5.0","."
"Special","4","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","26","4.000","19.2",".",".",".","",".","",".","",".","53.8","",".",".","",".","11.5","3.8",".","11.5","."
"Prof Yr 1","10","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","1","3.500",".","100.0",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","37","3.531","45.9","21.6","29.7",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","2.7"
"Prof Yr 4","290","3.750","39.0","19.7","4.5",".","",".","",".","",".","36.9","",".",".","",".",".",".",".",".","."
"Professionals","338","3.698","41.4","19.5","7.1",".","",".","",".","",".","31.7","",".",".","",".",".",".",".",".","0.3"
