"Summary by Level","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"FAM MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","3","3.800","66.7","33.3","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","3","3.800","66.7","33.3","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","2","",".",".","",".",".","",".","",".","",".","",".","",".","100.0","",".","",".","",".",".",".","."
"Prof Yr 1","","10","",".",".","",".",".","",".","",".","",".","",".","",".","100.0","",".","",".","",".",".",".","."
"Prof Yr 2","","5","",".",".","",".",".","",".","",".","",".","",".","",".","100.0","",".","",".","",".",".",".","."
"Prof Yr 3","","3","",".",".","",".",".","",".","",".","",".","",".","",".","100.0","",".","",".","",".",".",".","."
"Prof Yr 4","","14","3.833","50.0","7.1","",".","7.1","",".","",".","",".","",".","",".","35.7","",".","",".","",".",".",".","."
"Professionals","","32","3.833","21.9","3.1","",".","3.1","",".","",".","",".","",".","",".","71.9","",".","",".","",".",".",".","."
