"","990
035","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
039","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","5","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","31","",".",".",".",".","",".",".","",".","16.1",".",".",".","83.9",".",".",".","."
"PL PATH
766","Dept. Total","142","3.533","50.7","7.7","10.6","3.5","",".","2.1","",".","3.5",".",".",".","18.3","3.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","3.500","40.0","20.0","40.0",".","",".",".","",".",".",".",".",".",".",".",".",".","."
"Sophomore","","13","3.566","53.8","15.4","23.1","7.7","",".",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","18","3.293","50.0","16.7","16.7","11.1","",".","5.6","",".",".",".",".",".",".",".",".",".","."
"Senior","","41","3.505","68.3","4.9","14.6","4.9","",".","4.9","",".",".",".",".",".",".","2.4",".",".","."
"Undergraduates","","77","3.467","59.7","10.4","18.2","6.5","",".","3.9","",".",".",".",".",".",".","1.3",".",".","."
"Graduate","","65","3.830","40.0","4.6","1.5",".","",".",".","",".","7.7",".",".",".","40.0","6.2",".",".","."
"","Dept. Total","142","3.533","50.7","7.7","10.6","3.5","",".","2.1","",".","3.5",".",".",".","18.3","3.5",".",".","."
