"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"331
Transport Phenom-Materials","001","","29","3.069","24.1","6.9","37.9","20.7","10.3",".",".",".",".",".",".",".",".",".",".","."
"333
Microprocessing-Materials","001","","26","3.250","26.9","30.8","15.4","19.2","7.7",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","177","3.251","19.2","32.2","33.9","8.5","4.0","1.1",".",".",".",".",".",".","0.6","0.6",".","."
"352
Transformation of Solids","001","","42","3.036","11.9","21.4","38.1","23.8","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"361
Materials Laboratory II","001","","37","3.162","21.6","18.9","37.8","13.5","8.1",".",".",".",".",".",".",".",".",".",".","."
"401","001","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","002","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","Course Total","","35","3.847","82.9","17.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"421
Polymeric Materials","001","","49","3.255","16.3","42.9","30.6","4.1","4.1",".","2.0",".",".",".",".",".",".",".",".","."
"433
Principles of Corrosion","001","","19","3.553","42.1","31.6","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"434
Intro Thin-Film Deposition","001","","23","3.283","26.1","30.4","39.1",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"462
Welding Metallurgy","001","","8","3.625","62.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"471
Capstone Project II","001","","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"530
Thermodynamics of Solids","001","","13","3.346","30.8","30.8","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"553
Nanomaterials & Nanotechnology","001","","33","3.719","60.6","24.2","9.1",".","3.0",".",".",".",".",".",".",".",".",".","3.0","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","3.921","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"748
Structural Analysis-Materials","001","","19","3.105","10.5","21.1","52.6","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"750
Imperfectns&Mech Properties","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"758
Trans Electron Microscopy Lab","001","","15","",".",".",".",".",".",".",".","80.0",".",".",".",".","20.0",".",".","."
"760
Mol Dynamics&Monte Carlo Sims","001","","15","3.923","80.0",".","6.7",".",".",".",".","6.7",".",".",".",".","6.7",".",".","."
"790","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","27","",".",".",".",".",".",".",".","59.3",".",".",".","40.7",".",".",".","."
"803","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"803","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 141 of 409",""
