"EGR","","","","","","","","","","","","","","","","","","",""
"ELECTRICAL AND COMPUTER E Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"E C E
Dept. Total
320","2764","3.430","44.7","17.3","15.5","5.5","5.0","1.2","0.5","6.2","",".","0.1",".","3.6","0.4","0.1","0.0","0.0"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Freshmen","27","3.019","51.9","11.1","3.7",".","18.5","7.4","7.4",".","",".",".",".",".",".",".",".","."
"Sophomore","173","3.442","59.5","15.0","9.2","6.4","6.9","1.7","1.2",".","",".",".",".",".",".",".",".","."
"Junior","599","3.292","48.6","16.2","15.4","8.7","8.5","1.8","0.5",".","",".",".",".",".","0.3",".",".","."
"Senior","1083","3.351","42.1","21.1","21.3","7.1","5.8","1.5","0.4","0.2","",".",".",".",".","0.4","0.2",".","."
"Undergraduates","1882","3.336","45.9","18.8","18.1","7.4","7.0","1.7","0.6","0.1","",".",".",".",".","0.3","0.1",".","."
"Special","59","3.500","55.9","13.6","13.6","6.8","6.8",".","1.7",".","",".",".",".",".","1.7",".",".","."
"Graduate","950","3.703","35.6","12.2","8.4","0.9","0.2",".","0.1","17.8","",".","13.4","0.2","10.4","0.5",".","0.1","0.1"
"Dept. Total","2891","3.430","42.7","16.5","14.8","5.3","4.7","1.1","0.4","5.9","",".","4.4","0.1","3.4","0.4","0.1","0.0","0.0"
