"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"410
Evolutionary Biology","001","59","2.973","23.7","8.5","28.8","16.9","11.9","5.1",".","1.7",".",".",".",".",".",".","3.4","."
"425
Behavioral Ecology","001","90","3.494","48.9","22.2","22.2","2.2",".",".","3.3",".",".",".",".",".",".",".","1.1","."
"460
General Ecology","001","26","3.000","38.5","3.8","23.1","3.8","23.1","7.7",".",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","18","2.806","33.3",".","16.7","16.7","27.8",".","5.6",".",".",".",".",".",".",".",".","."
"470
Intro to Animal Development","001","115","3.035","32.2","8.7","31.3","7.0","11.3","5.2","2.6","0.9",".",".",".",".","0.9",".",".","."
"473
Plant-Insect Interactions","001","6","2.417",".","16.7","50.0",".","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"504
Modeling Animal Landscapes","001","19","3.957","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"510
Ecology of Fishes","001","39","3.189","33.3","7.7","35.9","2.6","12.8","2.6",".","5.1",".",".",".",".",".",".",".","."
"511","001","8","2.938","12.5","25.0","25.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"511","002","12","3.375","25.0","33.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","Course Total","20","3.200","20.0","30.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"520
Ornithology","001","68","2.946","20.6","7.4","38.2","2.9","25.0","1.5",".","4.4",".",".",".",".",".",".",".","."
"521","001","16","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"521","002","16","3.438","43.8","12.5","37.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"521","003","15","3.333","73.3",".","13.3",".",".",".","13.3",".",".",".",".",".",".",".",".","."
"521","004","15","3.267","46.7",".","40.0",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","62","3.452","59.7","3.2","29.0",".","3.2","1.6","3.2",".",".",".",".",".",".",".",".","."
"524
Neurobi II:Intr-Brain&Behav","001","31","3.097","25.8","22.6","25.8","9.7","9.7","6.5",".",".",".",".",".",".",".",".",".","."
"604
Genes and Disorders Lab","001","6","3.083","50.0",".",".","16.7","33.3",".",".",".",".",".",".",".",".",".",".","."
"611
Comparatv&Evolutionry Physiol","001","49","2.929","28.6","12.2","24.5","6.1","18.4","10.2",".",".",".",".",".",".",".",".",".","."
"612
Comparative Physiology Lab","001","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"635
Neurobiology of Disease","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Conservation Biology","001","16","3.375","31.3","18.8","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"699","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","7","3.917","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","021","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","Page 328 of 409",""
