"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","376","3.057","29.3","16.5","23.9","12.0","10.9","5.9","1.1",".",".",".",".",".","0.5",".",".","."
"","102
001","42","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","40","3.863","72.5","27.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
102","41","3.793","65.9","26.8","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","41","3.732","58.5","29.3","12.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","164","3.784","65.2","26.2","8.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","9","3.947","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","277","2.966","18.1","13.4","37.2","14.4","13.0","2.9","0.7","0.4",".",".",".",".",".",".",".","."
"","304
001","40","3.188","22.5","20.0","40.0","12.5","2.5","2.5",".",".",".",".",".",".",".",".",".","."
"","304
002","39","3.064","25.6","10.3","35.9","12.8","12.8","2.6",".",".",".",".",".",".",".",".",".","."
"","304
003","35","3.129","17.1","20.0","42.9","11.4","8.6",".",".",".",".",".",".",".",".",".",".","."
"","304
004","40","2.975","20.0","10.0","42.5","15.0","7.5","2.5","2.5",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","154","3.088","21.4","14.9","40.3","13.0","7.8","1.9","0.6",".",".",".",".",".",".",".",".","."
"","305
001","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
004","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","60","3.942","90.0","8.3","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Host-Parasite Interactions","330
001","62","2.861","25.8","9.7","25.8","11.3","16.1","6.5","3.2","1.6",".",".",".",".",".",".",".","."
"","375
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
004","26","3.300","34.6","23.1","26.9","3.8","3.8",".","3.8","3.8",".",".",".",".",".",".",".","."
"Special Topics","Course Total","35","3.388","45.7","17.1","25.7","2.9","2.9",".","2.9","2.9",".",".",".",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microorg","450
001","60","3.192","30.0","10.0","45.0","1.7","11.7","1.7",".",".",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","85","3.241","34.1","22.4","20.0","11.8","9.4","1.2","1.2",".",".",".",".",".",".",".",".","."
"Soil Microbiology & Biochem","523
001","16","3.250","25.0","18.8","43.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","41","3.088","41.5","14.6","17.1","2.4","12.2","2.4","7.3","2.4",".",".",".",".",".",".",".","."
"Topics in Biotechnology","545
001","44","3.886","84.1","9.1","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
001","23","3.609","43.5","34.8","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","33","3.742","69.7","12.1","15.2","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","003
551","17","3.500","35.3","29.4","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol Dvrsty-Procryot Lab","Course Total","73","3.644","53.4","23.3","21.9","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 10 of 409"
