"RADIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","",""
"699
Directed Study","220","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"813","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"813","002","","13","3.462","30.8","30.8","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","003","","10","3.500","30.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"813","004","","10","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","005","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","006","","9","3.625","33.3","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"813","007","","9","3.333","22.2","22.2","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiology Clerkship","Course Total","","64","3.484","29.7","34.4","32.8",".",".",".",".",".",".",".",".",".",".",".","3.1","."
"910","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","3","***","","","","","","","","","","","","","","","",""
"920","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total","","10","3.864","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
