"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","119","3.178","16.8","31.1","26.9","19.3","5.0",".",".",".",".",".",".",".","0.8",".",".","."
"","002
300","125","3.176","23.2","21.6","30.4","16.8","8.0",".",".",".",".",".",".",".",".",".",".","."
"","300
003","92","3.185","25.0","22.8","22.8","22.8","6.5",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","336","3.179","21.4","25.3","27.1","19.3","6.5",".",".",".",".",".",".",".","0.3",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","12","3.042",".","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Database Mngmnt & Applications","442
001","18","3.528","33.3","38.9","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
001","18","3.333","38.9","22.2","27.8",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","451
002","20","3.375","25.0","35.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Mgmt","Course Total","38","3.355","31.6","28.9","28.9","5.3","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"Production Planning&Control","654
001","30","3.917","86.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","50","3.610","48.0","40.0","8.0","2.0",".",".","2.0",".",".",".",".",".",".",".",".","."
"","700
002","50","3.800","72.0","20.0","6.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","700
030","48","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","148","3.679","56.8","28.4","12.8","0.7","0.7",".","0.7",".",".",".",".",".",".",".",".","."
"","732
001","50","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
002","50","3.480","38.0","32.0","28.0",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"","732
030","48","3.521","37.5","29.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","Course Total","148","3.534","41.9","27.0","30.4",".",".",".","0.7",".",".",".",".",".",".",".",".","."
"","765
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
002","16","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","34","3.574","29.4","55.9","14.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","33","3.712","57.6","27.3","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","67","3.642","43.3","41.8","14.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","84","3.669","42.9","45.2","11.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
770","9","3.444","33.3","44.4","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Approaches","Course Total","19","3.632","47.4","42.1","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Strategic Sustainability","861
001","22","3.810","63.6","27.3","4.5",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","990
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
139","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","3","***","","","","","","","","","","","","","","","",""
