"RURAL SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","",""
"Special Problems","Course Total","","2","***","","","","","","","","","","","","","","","",""
"925
Soc-Econ Chng-Underdev Area","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"999
Reading and Research","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"RUR SOC
864","Dept. Total","","370","3.424","44.3","25.4","15.4","6.8","3.5","2.2","0.3","1.4",".",".",".","0.3","0.5",".",".","."
