"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","100
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Art","Course Total","68","3.985","98.5",".","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
001","18","3.278","50.0","11.1","16.7","11.1","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","002
102","16","3.406","56.3","18.8","6.3","12.5",".",".","6.3",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","34","3.338","52.9","14.7","11.8","11.8","2.9",".","5.9",".",".",".",".",".",".",".",".","."
"","104
001","14","2.929","28.6","28.6","7.1","14.3","7.1","7.1","7.1",".",".",".",".",".",".",".",".","."
"","104
002","12","3.083","25.0","41.7","8.3","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","104
003","17","3.471","29.4","35.3","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
004","16","3.167","50.0","6.3","6.3","12.5","6.3","12.5",".","6.3",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","59","3.181","33.9","27.1","15.3","8.5","5.1","5.1","3.4","1.7",".",".",".",".",".",".",".","."
"","107
001","19","3.694","47.4","36.8","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","107
002","19","3.658","73.7","15.8","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","003
107","16","3.813","81.3","12.5",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","107
004","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
107","19","3.833","78.9","5.3","5.3","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"Introduction to Digital Forms","Course Total","90","3.790","74.4","15.6","4.4","1.1","1.1",".","1.1","2.2",".",".",".",".",".",".",".","."
"","112
001","22","3.682","50.0","40.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","112
002","20","3.789","60.0","30.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","003
112","18","3.722","88.9",".","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","112
004","19","3.921","94.7",".",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","112
005","20","3.800","80.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","112
006","16","3.767","62.5","18.8","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","007
112","18","3.500","38.9","27.8","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","112
008","17","3.344","17.6","41.2","23.5","11.8",".",".",".","5.9",".",".",".",".",".",".",".","."
"Drawing I","Course Total","150","3.697","62.0","21.3","10.0","3.3","0.7",".","0.7","2.0",".",".",".",".",".",".",".","."
"Current Directions in Art","001
208","102","3.490","39.2","31.4","19.6","5.9","1.0",".","1.0","1.0",".",".",".",".",".","1.0",".","."
"","212
001","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","12","3.667","91.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","212
004","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","60","3.883","90.0","6.7","1.7",".",".",".","1.7",".",".",".",".",".",".",".",".","."
"Sculpture I","214
001","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
001","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","13","3.792","53.8","38.5",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Introduction to Painting","Course Total","21","3.650","47.6","33.3","9.5","4.8",".",".",".",".",".",".",".",".","4.8",".",".","."
"","224
001","7","3.250","28.6",".","42.9","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"","002
224","12","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
003","11","3.500","36.4","27.3","18.2","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","30","3.518","43.3","16.7","26.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"Life Drawing I","232
001","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor I","242
001","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","244
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 72 of 409"
