"LINGUISTICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"Human Language","101","001","124","3.165","33.9","21.0","16.9","13.7","9.7","3.2","1.6",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","34","3.294","41.2","14.7","17.6","14.7","11.8",".",".",".",".",".",".",".",".",".",".","."
"Phonology","310","001","20","3.400","45.0","20.0","10.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Morphology","322","001","33","3.318","36.4","36.4","12.1","3.0","6.1","3.0","3.0",".",".",".",".",".",".",".",".","."
"Syntax","330","001","14","3.464","35.7","28.6","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Semantics","340","001","28","3.482","57.1","10.7","10.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Field Methods II","427","001","20","3.625","80.0","5.0","5.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Junior Honors Tutorial","482","013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Phonological Theories","510","001","11","3.714","27.3","36.4",".",".",".",".",".",".",".",".",".",".","36.4",".",".","."
"Syntactic Theories","530","001","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Honors Seminar-Sr Thesis","682","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","977","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","038","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","8","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
