"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Animal Hlth Hist Restraint","570
001","85","4.000","7.1",".",".",".",".",".",".","89.4",".",".",".",".","3.5",".",".","."
"Sm Animal Emrgncy&Crit Care I","576
001","48","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Vet Diag&Therapeut Techniq","625
001","76","4.000","94.7",".",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Veterinary Nutrition","629
001","85","3.594","45.9","34.1","14.1","4.7","1.2",".",".",".",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med II","633
001","77","3.513","45.5","18.2","32.5","1.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","14","4.000","35.7",".",".",".",".",".",".","64.3",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","22","4.000","27.3",".",".",".",".",".",".","72.7",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","001
669","24","4.000","29.2",".",".",".",".",".",".","70.8",".",".",".",".",".",".",".","."
"","670
001","37","4.000","27.0",".",".",".",".",".",".","73.0",".",".",".",".",".",".",".","."
"","670
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","40","4.000","30.0",".",".",".",".",".",".","70.0",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","41","4.000","39.0",".",".",".",".",".",".","61.0",".",".",".",".",".",".",".","."
"","675
001","34","4.000","67.6",".",".",".",".",".",".","32.4",".",".",".",".",".",".",".","."
"","675
002","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
003","57","4.000","47.4",".",".",".",".",".",".","52.6",".",".",".",".",".",".",".","."
"","675
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
006","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
007","12","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"","675
008","27","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"","675
009","85","",".",".",".",".",".",".",".","74.1",".",".",".",".","25.9",".",".","."
"","675
010","77","3.506","48.1","22.1","19.5","3.9","6.5",".",".",".",".",".",".",".",".",".",".","."
"","675
015","76","",".",".",".",".",".",".",".","50.0",".",".",".",".","50.0",".",".","."
"","675
021","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
023","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","548","3.759","17.0","3.1","2.7","0.5","0.9",".",".","59.9",".",".",".",".","10.9",".","4.9","."
"","678
001","34","4.000","44.1",".",".",".",".",".",".","52.9",".",".",".",".","2.9",".",".","."
"","678
002","10","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","44","4.000","47.7",".",".",".",".",".",".","50.0",".",".",".",".","2.3",".",".","."
"Small Animal Oncology","679
001","15","4.000","26.7",".",".",".",".",".",".","73.3",".",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","15","4.000","86.7",".",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Production Medicine IV","001
707","15","4.000","13.3",".",".",".",".",".",".","86.7",".",".",".",".",".",".",".","."
"","775
001","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
002","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
003","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
004","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","Page 401 of 409",""
