"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Introduction to Psychology","201
001","25","2.760","16.0","16.0","20.0","32.0","4.0","8.0","4.0",".",".",".",".",".",".",".",".","."
"","202
001","335","2.736","17.9","17.0","11.9","22.1","23.0","5.4","2.7",".",".",".",".",".",".",".",".","."
"","202
002","299","2.690","15.1","18.1","11.7","27.8","15.4","9.4","2.3",".",".",".",".",".","0.3",".",".","."
"","202
003","345","2.858","15.1","22.3","12.2","33.9","11.0","4.1","1.4",".",".",".",".",".",".",".",".","."
"","004
202","197","2.464","13.2","7.6","22.3","5.6","37.1","10.7","3.0",".",".",".",".",".",".","0.5",".","."
"Introduction to Psychology","Course Total","1176","2.715","15.6","17.3","13.7","24.2","19.9","6.9","2.3",".",".",".",".",".","0.1","0.1",".","."
"","210
001","49","2.542","14.3","10.2","18.4","10.2","32.7","10.2","2.0",".","2.0",".",".",".",".",".",".","."
"","002
210","47","2.620","14.9","6.4","31.9","8.5","25.5","6.4","4.3",".",".",".",".",".","2.1",".",".","."
"","003
210","47","2.798","12.8","6.4","46.8","12.8","14.9","4.3","2.1",".",".",".",".",".",".",".",".","."
"","210
004","44","2.500","13.6","9.1","22.7","9.1","34.1","4.5","6.8",".",".",".",".",".",".",".",".","."
"","210
005","57","2.798","24.6","7.0","22.8","8.8","29.8","7.0",".",".",".",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","244","2.659","16.4","7.8","28.3","9.8","27.5","6.6","2.9",".","0.4",".",".",".","0.4",".",".","."
"Freshman Seminar in Psychology","211
001","15","3.821","66.7","20.0","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","225
002","46","3.130","19.6","23.9","32.6","10.9","13.0",".",".",".",".",".",".",".",".",".",".","."
"","225
003","43","3.186","18.6","34.9","25.6","7.0","14.0",".",".",".",".",".",".",".",".",".",".","."
"","225
004","34","2.721","5.9","14.7","32.4","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"Experimental Psychology","Course Total","123","3.037","15.4","25.2","30.1","13.0","14.6","1.6",".",".",".",".",".",".",".",".",".","."
"Honors Crse-Intro to Psych","281
001","25","3.680","64.0","24.0","8.0",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"Issues in Psychology","311
001","12","3.971","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Experimental Psych-Graduate","325
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Sexuality","350
001","225","3.315","33.3","21.8","28.0","4.9","8.0","0.9","0.4","2.2",".",".",".",".","0.4",".",".","."
"","386
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Psych for Honors","Course Total","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
074","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service Learning in Psychology","Course Total","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Perception","406
001","62","2.750","22.6","16.1","14.5","16.1","16.1","3.2","8.1","3.2",".",".",".",".",".",".",".","."
"","411
001","25","4.000","92.0",".",".",".",".",".",".",".",".",".",".",".","8.0",".",".","."
"","411
002","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
003","24","3.646","50.0","29.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
004","23","3.304","26.1","30.4","26.1","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"","005
411","21","3.429","42.9","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","411
006","25","3.300","28.0","16.0","48.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","411
007","18","3.639","66.7","11.1","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","411
008","24","3.729","70.8","12.5","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","411
009","25","3.740","48.0","52.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
411","22","3.477","40.9","13.6","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
411","26","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
012","24","3.500","37.5","29.2","20.8","8.3",".",".",".","4.2",".",".",".",".",".",".",".","."
"","411
013","23","3.545","34.8","34.8","26.1",".",".",".",".",".",".",".",".",".",".","4.3",".","."
"Current Topics - Psychology","Course Total","301","3.621","53.2","23.3","17.3","3.0","2.0",".",".","0.3",".",".",".",".","0.7","0.3",".","."
"Field Exper in Psychology","001
412","13","3.963","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","Page 289 of 409",""
