"Directed Study","699
002","","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Sci, Technol & Med in Society","901
001","","8","4.000","62.5",".",".",".","",".",".","",".","","12.5",".","",".",".","",".","","25.0",".",".","."
"Current Topics-Sci & Tech St","902
001","","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Topics-Sci&Technology Studies","903
001","","8","4.000","75.0",".",".",".","",".",".","",".","",".",".","",".",".","",".","","25.0",".",".","."
"STS
875","Dept. Total","","49","3.714","49.0","26.5","8.2","2.0","",".","",".","",".","2.0","",".","4.1","",".","",".","8.2",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"875
STS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","10","3.450","20.0","50.0","30.0",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","7","3.429","28.6","42.9","14.3","14.3","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","","3","3.667","33.3","66.7",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","10","3.850","70.0","30.0",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","30","3.600","40.0","43.3","13.3","3.3","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","","18","4.000","61.1",".",".",".","",".","",".","",".","5.6","",".","11.1","",".","",".","22.2",".",".","."
"","Dept. Total","","49","3.714","49.0","26.5","8.2","2.0","",".","",".","",".","2.0","",".","4.1","",".","",".","8.2",".",".","."
