"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"289
Honors Independent Study","059","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","039","","11","3.900","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","053","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","054","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","073","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","075","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","077","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","64","3.971","96.9",".","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","30","3.900","90.0","6.7",".",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"501
Introduction-Biochemistry","001","","439","3.078","26.7","11.2","31.9","11.6","16.9","0.9",".","0.2",".",".",".",".","0.5",".","0.2","."
"508
General Biochemistry II","001","","187","2.892","18.2","15.5","29.4","13.4","17.1","4.8","1.1",".",".",".",".",".","0.5",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","28","3.125","39.3","10.7","17.9",".","32.1",".",".",".",".",".",".",".",".",".",".","."
"550
Topics in Medical Biochem","001","","53","3.142","28.3","7.5","47.2","5.7","9.4",".","1.9",".",".",".",".",".",".",".",".","."
"575
Biology of Viruses","001","","49","2.510","12.2","4.1","30.6","12.2","26.5","12.2","2.0",".",".",".",".",".",".",".",".","."
"609
Math Mthds for Systems Biology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"619
Adv Nutr: Metab-Macronutrients","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"620
Eukaryotic Molecular Biology","001","","72","3.479","43.1","26.4","23.6",".","5.6","1.4",".",".",".",".",".",".",".",".",".","."
"625
Coenzymes&Cofactors-Enzymology","001","","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Biochemical Methods","001","","86","3.442","39.5","30.2","17.4","4.7","8.1",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","","Page 13 of 409"
