"BIOLOGICAL SYSTEMS ENGINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"309
Biol Sys Engr Dsgn Practicum I","001","","54","3.368","50.0","14.8","11.1","9.3","11.1",".","1.9",".",".",".",".",".","1.9",".",".","."
"349
Quant Technqs-Biological Systm","001","","48","2.948","16.7","20.8","29.2","6.3","25.0","2.1",".",".",".",".",".",".",".",".",".","."
"356
Sustainabl Residntl Constructn","001","","32","3.563","56.3","18.8","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"365
Measrmt&Instrumntn-Biol Sys","001","","58","2.603","3.4","15.5","32.8","12.1","29.3","5.2","1.7",".",".",".",".",".",".",".",".","."
"367
Renewable Energy Systems","001","","57","3.564","49.1","29.8","12.3","1.8",".","1.8","1.8",".",".",".",".",".",".",".","3.5","."
"375","001","","19","3.211","26.3","26.3","21.1","15.8","10.5",".",".",".",".",".",".",".",".",".",".","."
"375","002","","12","3.250","33.3","25.0","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","31","3.226","29.0","25.8","19.4","12.9","12.9",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"441
Rheology of Foods&Biomaterials","001","","12","2.333","16.7",".","16.7","16.7","25.0","25.0",".",".",".",".",".",".",".",".",".","."
"461
Bioprocessing Unit Operations","001","","24","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"472
Sedmnt & Bio-Nutr Engr&Mgmt","001","","17","2.912",".","17.6","58.8","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"476
Engr Princpl Off-Road Vehicles","001","","15","2.767",".","13.3","53.3","6.7","26.7",".",".",".",".",".",".",".",".",".",".","."
"571
Small Watershed Engineering","001","","23","3.022","13.0","17.4","47.8","13.0","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"642
Food & Phmaceut Separations","001","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"799
Practicum-Ag Engr Teaching","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Graduate Research Seminar","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","018","","6","",".",".",".",".",".",".",".",".","16.7",".",".","83.3",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"990","036","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","41","",".",".",".",".",".",".",".","17.1","2.4",".",".","80.5",".",".",".","."
"999
Special Problems","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
