"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"PHYSIOL","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","37","2.869","27.0","5.4","40.5",".","21.6","5.4",".",".","",".",".","",".",".",".",".",".","."
"Junior","162","2.959","34.6","4.3","34.6","2.5","13.6","8.0","1.9",".","",".",".","",".",".","0.6",".",".","."
"Senior","367","3.123","43.6","7.6","25.3","3.5","10.6","7.6","1.4",".","",".",".","",".",".","0.3",".",".","."
"Undergraduates","567","3.061","40.0","6.5","28.9","3.0","12.2","7.6","1.4",".","",".",".","",".",".","0.4",".",".","."
"Special","11","3.333","54.5",".","27.3",".","18.2",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","118","3.497","30.5","22.9","13.6","1.7","1.7",".",".","28.0","",".",".","",".","0.8",".",".","0.8","."
"Prof Yr 1","3","3.545","66.7",".","33.3",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","5","4.000","40.0",".",".",".",".",".",".","40.0","",".",".","",".","20.0",".",".",".","."
"Prof Yr 4","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Professionals","9","3.615","44.4",".","11.1",".",".",".",".","33.3","",".",".","",".","11.1",".",".",".","."
