"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","244
002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Color","001
302","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","306
001","10","3.784","80.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","312
001","11","3.364","9.1","63.6","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","11","3.671","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","Course Total","22","3.512","27.3","54.5","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture II","314
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Lithography","316
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Painting I","322
001","12","3.125","25.0","41.7","16.7",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"Ceramics II","324
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Etching","326
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing II","332
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Wood Working","334
001","11","3.561","63.6","18.2",".",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","11","3.846","63.6","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","9.1"
"Watercolor II","342
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Metal Fabr & Weldng in Sculptr","343
001","10","3.526","50.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","346
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
346","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Typography & Communicatn","Course Total","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Printmaking","348
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glassworking","354
001","8","3.125","25.0","50.0",".",".","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"","366
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","366
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","5","***","","","","","","","","","","","","","","","",""
"Set Design I","372
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","376
001","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
002","12","3.727","41.7","50.0",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Photography","Course Total","23","3.773","60.9","26.1","8.7",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Art Foundry","414
001","8","3.917","62.5","12.5",".",".",".",".",".","12.5",".",".",".",".","12.5",".",".","."
"","448
001","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
005","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
007","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
448","15","3.429","33.3","13.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".","6.7"
"","009
448","7","3.565","42.9","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","14.3"
"","448
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
011","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","117","3.810","82.1","6.0","7.7","0.9","0.9",".",".",".",".",".",".",".","0.9",".",".","1.7"
