"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","240
001","93","3.177","22.6","20.4","37.6","8.6","10.8",".",".",".",".",".",".",".",".",".",".","."
"","002
240","63","2.944","15.9","17.5","34.9","12.7","15.9","1.6","1.6",".",".",".",".",".",".",".",".","."
"Intro to Discrete Mathematics","Course Total","156","3.083","19.9","19.2","36.5","10.3","12.8","0.6","0.6",".",".",".",".",".",".",".",".","."
"","001
252","95","3.457","44.2","25.3","15.8","6.3","6.3","1.1",".",".",".",".",".",".",".",".",".","1.1"
"","252
002","29","3.448","58.6","10.3","10.3","10.3","6.9","3.4",".",".",".",".",".",".",".",".",".","."
"","252
003","42","2.333","16.7","11.9","21.4","11.9","11.9","7.1","19.0",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","166","3.170","39.8","19.3","16.3","8.4","7.8","3.0","4.8",".",".",".",".",".",".",".",".","0.6"
"Directed Study in Comp Sci","298
101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","302
001","186","2.796","19.9","9.7","33.9","11.8","16.1","2.7","5.9",".",".",".",".",".",".",".",".","."
"","302
002","221","2.912","23.1","10.4","33.9","11.3","12.2","2.7","4.5","0.9","0.5",".",".",".","0.5",".",".","."
"","302
003","21","3.200","28.6","19.0","38.1",".","4.8",".","4.8",".","4.8",".",".",".",".",".",".","."
"","302
004","28","2.857","28.6","14.3","21.4","7.1","14.3","10.7","3.6",".",".",".",".",".",".",".",".","."
"","302
005","21","3.024","28.6","14.3","42.9",".","4.8",".","9.5",".",".",".",".",".",".",".",".","."
"","006
302","22","2.750","18.2","13.6","27.3","9.1","18.2","13.6",".",".",".",".",".",".",".",".",".","."
"","302
009","96","2.484","12.5","9.4","26.0","14.6","20.8","9.4","7.3",".",".",".",".",".",".",".",".","."
"Introduction to Programming","Course Total","595","2.811","20.8","10.8","32.3","10.9","14.6","4.4","5.4","0.3","0.3",".",".",".","0.2",".",".","."
"","304
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
004","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
005","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
006","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
007","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
009","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
010","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"WES-CS Group Meeting","Course Total","54","3.991","98.1","1.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prob Solvng Using Computers","310
001","131","3.160","26.7","19.8","32.8","9.2","9.2",".","2.3",".",".",".",".",".",".",".",".","."
"","352
001","54","3.120","25.9","24.1","20.4","14.8","11.1","3.7",".",".",".",".",".",".",".",".",".","."
"","002
352","46","2.717","17.4","21.7","21.7","13.0","13.0","2.2","10.9",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","100","2.935","22.0","23.0","21.0","14.0","12.0","3.0","5.0",".",".",".",".",".",".",".",".","."
"","354
001","56","2.676","21.4","8.9","21.4","7.1","25.0","8.9","3.6",".",".",".",".",".","3.6",".",".","."
"","002
354","67","2.545","14.9","19.4","17.9","14.9","14.9","6.0","11.9",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","123","2.603","17.9","14.6","19.5","11.4","19.5","7.3","8.1",".",".",".",".",".","1.6",".",".","."
"","367
001","151","2.797","19.9","11.3","29.1","14.6","14.6","6.0","4.0",".","0.7",".",".",".",".",".",".","."
"","002
367","175","2.848","26.9","7.4","21.1","18.3","20.0","0.6","5.1",".",".",".",".",".",".","0.6",".","."
"Intro to Data Structures","Course Total","326","2.824","23.6","9.2","24.8","16.6","17.5","3.1","4.6",".","0.3",".",".",".",".","0.3",".","."
"Learn a Programming Language","368
001","65","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"Web Programming","369
001","69","3.799","84.1","2.9","4.3","1.4","2.9",".","1.4","1.4",".",".",".",".","1.4",".",".","."
"Tech:Computer-Based Bus Sys","371
001","11","3.273","54.5","18.2",".","18.2",".",".","9.1",".",".",".",".",".",".",".",".","."
"Introducing Comp Sci to K-12","402
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Mobl Systms&Applctns","407
001","84","3.601","47.6","34.5","14.3","2.4",".",".","1.2",".",".",".",".",".",".",".",".","."
"Intro to Numerical Methods","412
001","75","3.127","18.7","38.7","20.0","10.7","5.3","5.3","1.3",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","11","2.818","36.4",".","27.3",".","18.2","18.2",".",".",".",".",".",".",".",".",".","."
"Intro-Computational Statistics","471
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","17","3.000","23.5","11.8","35.3","23.5",".",".","5.9",".",".",".",".",".",".",".",".","."
