"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","98","3.742","65.3","18.4","5.1","1.0","2.0",".","1.0","7.1",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","36","3.397","41.7","22.2","16.7","2.8","8.3","2.8",".","5.6",".",".",".",".",".",".",".","."
"The Symphony","106
001","67","3.336","25.4","20.9","31.3","4.5","4.5",".",".","13.4",".",".",".",".",".",".",".","."
"","113
001","616","3.972","97.7","1.5","0.3",".",".","0.2","0.3",".",".",".",".",".",".",".",".","."
"","113
002","80","",".",".",".",".",".",".",".","98.8",".",".",".",".",".",".","1.3","."
"Music in Performance","Course Total","696","3.972","86.5","1.3","0.3",".",".","0.1","0.3","11.4",".",".",".",".",".",".","0.1","."
"","122
001","11","3.455","45.5","18.2","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","122
002","22","3.045","13.6","22.7","36.4","13.6","13.6",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","33","3.182","24.2","21.2","30.3","15.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","151
001","39","3.718","71.8","12.8","5.1","7.7","2.6",".",".",".",".",".",".",".",".",".",".","."
"","151
002","61","3.304","31.1","27.9","21.3","1.6","4.9","3.3","1.6","6.6",".",".",".",".",".","1.6",".","."
"","151
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","103","3.444","46.6","22.3","14.6","3.9","3.9","1.9","1.9","3.9",".",".",".",".",".","1.0",".","."
"","172
101","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","172
102","6","3.167","16.7","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","172
103","8","3.250","12.5","50.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","172
104","8","3.063","12.5","25.0","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"","172
105","6","3.167","16.7","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","33","3.197","18.2","27.3","30.3","24.2",".",".",".",".",".",".",".",".",".",".",".","."
"The Legendary Performers","001
206","300","3.724","52.3","32.3","6.7","1.0","0.7",".",".","7.0",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","212
001","41","3.268","31.7","22.0","24.4","12.2","9.8",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 4","222
002","22","3.455","31.8","36.4","27.3",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236
001","6","3.300","16.7","16.7","50.0",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"","254
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","254
002","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","12","3.864","75.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","8.3"
"University Opera","256
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","32","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","35","3.897","91.4","2.9",".",".",".","2.9",".",".",".",".",".",".","2.9",".",".","."
"","264
002","14","3.731","78.6","7.1",".",".",".","7.1",".",".",".",".",".",".","7.1",".",".","."
"Ensemble: Wisconsin Singers","Course Total","49","3.851","87.8","4.1",".",".",".","4.1",".",".",".",".",".",".","4.1",".",".","."
"","265
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","5","***","","","","","","","","","","","","","","","",""
"Black Music Ensemble","266
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
