"","990
088","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
089","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
091","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","44","",".",".",".",".",".",".",".","97.7",".",".",".","2.3",".",".",".","."
"PHM SCI
718","Dept. Total","1122","3.452","44.1","18.2","19.3","7.6","2.5","0.4","0.1","4.0",".","3.7",".","0.1","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","23","3.087","34.8","17.4","21.7","8.7","8.7","4.3","4.3",".",".",".",".",".",".",".",".","."
"Sophomore","","40","3.750","72.5","10.0","12.5","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","75","3.615","66.7","6.7","18.7","4.0","1.3","2.7",".",".",".",".",".",".",".",".",".","."
"Senior","","172","3.780","78.5","9.9","5.8","2.3","1.2","0.6",".","1.2",".",".",".",".","0.6",".",".","."
"Undergraduates","","310","3.688","71.6","9.7","11.0","3.5","1.6","1.3","0.3","0.6",".",".",".",".","0.3",".",".","."
"Special","","7","3.250","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","113","3.711","17.7","5.3","0.9","0.9",".",".",".","38.1",".","36.3",".","0.9",".",".",".","."
"Prof Yr 1","","403","3.293","25.8","29.3","31.3","10.7","2.7","0.2",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","271","3.497","49.1","17.3","19.2","10.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","9","3.333","44.4","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 4","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","692","3.369","36.1","24.1","25.9","10.5","3.2","0.1",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1122","3.452","44.1","18.2","19.3","7.6","2.5","0.4","0.1","4.0",".","3.7",".","0.1","0.1",".",".","."
