"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","13","3.346","46.2","23.1","7.7",".","23.1",".",".",".",".",".",".",".",".",".",".","."
"","101
003","19","3.763","68.4","15.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","23","3.630","47.8","34.8","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","005
101","16","3.625","62.5","25.0","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","101
007","24","3.542","50.0","20.8","20.8","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","101
009","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
011","8","3.688","75.0",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","109","3.624","58.7","21.1","12.8","2.8","3.7","0.9",".",".",".",".",".",".",".",".",".","."
"","102
003","21","3.357","23.8","42.9","28.6",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","102
004","25","3.780","64.0","32.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","22","3.636","59.1","27.3",".","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","102
007","24","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
102","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","25","3.239","36.0","16.0","16.0","4.0","20.0",".",".","4.0",".",".",".",".",".",".","4.0","."
"Second Semester Italian","Course Total","140","3.594","52.9","25.7","12.1","2.9","4.3","0.7",".","0.7",".",".",".",".",".",".","0.7","."
"Second Semester Italian Honors","182
001","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","10","3.200","30.0","40.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","201
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","18","3.556","61.1","22.2","11.1",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","203
002","15","3.600","46.7","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","003
203","17","3.500","52.9","35.3",".","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"","203
004","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","39","3.590","53.8","30.8","7.7","5.1",".",".","2.6",".",".",".",".",".",".",".",".","."
"","204
001","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
204","9","3.111","22.2","11.1","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","17","3.412","41.2","17.6","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Writing Workshop","312
001","8","3.429","50.0","12.5",".","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"Intro to Italian Literature","322
001","15","3.567","66.7","6.7","20.0",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Ital Culture,Film,Lang","452
001","9","3.167","22.2","55.6",".",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lineamenti Di Lett Italiana","731
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lineamenti Di Lett Italiana","732
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Issues-Mthds Teachng Fr&Itl","821
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","952
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
