"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","194","2.438","17.5","3.6","25.8","5.2","28.9","11.9","6.7",".",".",".",".",".","0.5",".",".","."
"","002
101","207","2.438","17.9","4.8","23.7","6.8","25.1","12.6","7.2",".",".",".",".",".","1.0",".",".","1.0"
"Animal Biology","Course Total","401","2.438","17.7","4.2","24.7","6.0","26.9","12.2","7.0",".",".",".",".",".","0.7",".",".","0.5"
"","102
001","11","3.545","45.5","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","11","3.136","18.2","27.3","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
003","12","3.292","25.0","25.0","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
004","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","10","3.300","30.0","20.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
006","9","3.167","11.1","22.2","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","14","3.250","21.4","42.9","14.3","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
008","15","3.233","20.0","26.7","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
009","13","3.385","15.4","46.2","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
102","14","3.286","14.3","35.7","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","011
102","13","3.462","46.2","23.1","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","012
102","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","10","3.550","60.0","10.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","014
102","7","3.286","14.3","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","15","3.367","26.7","33.3","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
016","14","3.321","35.7","28.6","14.3","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
017","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","14","2.964","7.1","14.3","64.3","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","206","3.328","26.7","29.6","33.0","4.9","5.3","0.5",".",".",".",".",".",".",".",".",".","."
"General Botany","130
001","41","2.976","29.3","12.2","22.0","12.2","17.1","7.3",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","001
151","296","2.841","16.9","8.4","41.2","6.4","21.3","4.7","1.0",".",".",".",".",".",".",".",".","."
"","152
001","265","3.040","15.5","12.5","51.3","6.8","11.3","1.5",".",".",".",".",".",".","0.8",".",".","0.4"
"","152
002","259","3.006","13.5","10.4","56.0","6.2","10.8","1.5","0.4",".",".",".",".",".","1.2",".",".","."
"","003
152","172","3.090","20.3","15.1","44.8","5.2","12.8","1.7",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","696","3.040","15.9","12.4","51.4","6.2","11.5","1.6","0.1",".",".",".",".",".","0.7",".",".","0.1"
"Entering Research Part 1","260
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","261
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","261
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Entering Research Part 2","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Studies","299
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
001","34","3.824","82.4","11.8","2.9",".",".","2.9",".",".",".",".",".",".",".",".",".","."
"","375
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
006","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","46","3.809","80.4","10.9","6.5",".",".","2.2",".",".",".",".",".",".",".",".",".","."
"","399
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship/Field Experience","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
675","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
