"LEGAL STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131","001","123","3.037","16.3","22.8","34.1","15.4","7.3","3.3","0.8",".",".",".",".",".",".",".",".","."
"Law, Politics and Society","217","001","67","3.265","11.9","46.3","29.9","6.0","3.0","1.5",".",".",".",".",".",".","1.5",".",".","."
"American Legal History to Pres","262","001","31","3.177","16.1","25.8","51.6","3.2",".",".","3.2",".",".",".",".",".",".",".",".","."
"Topics: Legal Studies&Soc Sci","400","014","61","3.590","42.6","36.1","19.7",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"Human Rights in Law & Society","409","001","28","3.214","7.1","53.6","21.4","10.7","7.1",".",".",".",".",".",".",".",".",".",".","."
"The Legal Profession","415","001","17","3.676","70.6","11.8","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Law and Environment","430","001","12","3.083","8.3","25.0","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Law in Action","444","001","63","3.992","98.4","1.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450","017","28","3.018","25.0",".","39.3","25.0","10.7",".",".",".",".",".",".",".",".",".",".","."
"","450","022","25","3.160","24.0","20.0","28.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","450","023","15","3.036","33.3","13.3","13.3","20.0","6.7",".","6.7","6.7",".",".",".",".",".",".",".","."
"Topic:Legal Studies&Humanities","","Course Total","68","3.075","26.5","10.3","29.4","22.1","8.8",".","1.5","1.5",".",".",".",".",".",".",".","."
"Legal Pluralism","510","001","38","3.092","10.5","26.3","39.5","18.4","5.3",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Law","641","001","22","3.455","22.7","54.5","18.2",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","682","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","692","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Crimnl Justice Fld Observtn","694","001","22","3.477","45.5","27.3","13.6","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","699","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
