"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Thry&Pract-Argument&Debate","262","001","95","3.047","14.7","28.4","34.7","14.7","2.1","1.1","4.2",".",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266","001","114","3.254","19.3","28.1","43.9","3.5","4.4","0.9",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272","001","141","3.177","17.7","33.3","29.8","10.6","5.7","2.8",".",".",".",".",".",".",".",".",".","."
"Directed Study","298","042","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Mass Media & Human Behavior","325","001","106","2.714","4.7","17.9","34.9","15.1","17.0","5.7","1.9","1.9",".",".",".",".","0.9",".",".","."
"Critical Internet Studies","346","001","95","3.263","7.4","47.4","37.9","5.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"Race, Ethnicity, and Media","347","001","17","3.353","17.6","47.1","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","128","3.024","10.2","28.9","35.2","16.4","4.7","2.3","1.6","0.8",".",".",".",".",".",".",".","."
"Introduction to Television","351","001","137","2.911","9.5","27.0","29.2","13.9","14.6","2.9","1.5","0.7",".",".",".",".","0.7",".",".","."
"Film History Since 1960","353","001","63","3.353","15.9","50.8","20.6","1.6",".","1.6","1.6","7.9",".",".",".",".",".",".",".","."
"Film Styles and Genres","354","001","28","3.321","25.0","39.3","28.6","3.6",".",".","3.6",".",".",".",".",".",".",".",".","."
"Intro to Media Production","355","001","123","3.174","11.4","34.1","38.2","9.8","4.1",".","0.8",".",".",".",".",".","1.6",".",".","."
"Rhetoric, Politics, Culture","360","001","109","2.852","8.3","22.9","31.2","24.8","5.5","2.8","3.7","0.9",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","70","3.293","28.6","24.3","38.6","2.9","2.9","1.4","1.4",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","116","2.923","13.8","18.1","28.4","20.7","11.2","1.7","1.7","3.4",".",".",".",".","0.9",".",".","."
"The Rhetoric of Religion","374","001","62","3.081","11.3","29.0","38.7","12.9","6.5",".","1.6",".",".",".",".",".",".",".",".","."
"Television Criticism","451","001","41","3.213","9.8","34.1","43.9","7.3","2.4",".",".",".",".",".",".",".","2.4",".",".","."
"Critical Film Analysis","454","001","13","3.308","30.8","46.2","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Russian and Soviet Film","456","001","16","3.233","31.3","12.5","31.3","6.3","12.5",".",".","6.3",".",".",".",".",".",".",".","."
"New Media and Society","459","001","38","3.108","5.3","31.6","47.4","10.5",".","2.6",".","2.6",".",".",".",".",".",".",".","."
"Avant-Garde Film","463","001","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","001","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","002","16","3.875","87.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","465","003","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","47","3.872","78.7","19.1",".","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Writing for TV & Film","466","001","15","3.250","26.7","33.3","20.0",".","6.7","6.7",".","6.7",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","467","001","14","3.536","42.9","35.7","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Rhetoric and Technology","472","001","51","3.461","31.4","35.3","27.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Criticism","476","001","20","3.763","60.0","25.0","10.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Digital Media & Political Comm","509","001","11","3.318","45.5","27.3","18.2",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","522","001","13","3.385","30.8","23.1","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","522","002","14","3.429","7.1","71.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digitally Doc Everyday Comm","","Course Total","27","3.407","18.5","48.1","29.6","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Game Cultures","547","001","14","3.464","28.6","50.0","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Media Industries","557","001","47","2.957","8.5","19.1","38.3","27.7","2.1",".","2.1","2.1",".",".",".",".",".",".",".","."
"Communictn&Interethnc Behav","565","001","39","3.372","23.1","38.5","30.8","5.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Rhetorical Theory","571","001","12","3.700","58.3","16.7",".",".","8.3",".",".",".",".",".",".",".","16.7",".",".","."
"Dynamics of Online Relatnshps","577","001","20","3.025","20.0","20.0","30.0","25.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Spec Tpcs:Media & Cultural St","608","001","24","3.458","25.0","54.2","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","610","001","20","3.763","55.0","35.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","610","002","10","3.600","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 187 of 409",""
