"","699
005","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","699
006","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","699
007","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Directed Studies","Course Total","19","4.000","94.7",".",".",".",".",".",".","",".","",".",".","",".",".",".",".","5.3","."
"BIOLOGY
205","Dept. Total","1753","2.933","22.4","11.6","37.7","5.8","15.3","4.5","1.8","",".","",".",".","",".","0.1","0.5",".","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","257","2.431","10.5","10.9","28.8","6.6","27.2","10.5","4.7","",".","",".",".","",".",".","0.4",".",".","0.4"
"Sophomore","","666","2.909","21.3","9.6","39.3","5.4","18.5","4.1","1.2","",".","",".",".","",".",".","0.5",".",".","0.2"
"Junior","","621","2.998","19.0","13.5","45.1","6.4","10.3","3.5","1.4","",".","",".",".","",".",".","0.5",".",".","0.2"
"Senior","","185","3.327","47.6","14.6","22.7","3.8","6.5","1.6","1.1","",".","",".",".","",".","1.1","0.5",".","0.5","."
"Undergraduates","","1729","2.928","21.7","11.7","38.1","5.8","15.6","4.6","1.8","",".","",".",".","",".","0.1","0.5",".","0.1","0.2"
"Special","","14","3.327","71.4","7.1","7.1","7.1",".",".","7.1","",".","",".",".","",".",".",".",".",".","."
"Graduate","","9","3.706","88.9",".","11.1",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"Professionals","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1753","2.933","22.4","11.6","37.7","5.8","15.3","4.5","1.8","",".","",".",".","",".","0.1","0.5",".","0.1","0.2"
