"ENGR PROFESSIONAL DEVELO Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","",""
"","397","017","","12","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","","Course Total","","332","3.272","22.3","31.9","31.9","9.6","2.4","0.6","0.9",".",".",".",".",".",".",".","0.3","."
"Tech Communications Intrshp","398","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","450","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","450","003","","6","4.000","16.7",".",".",".",".",".",".",".",".",".",".",".","83.3",".",".","."
"Japanese for Politics&Govrnmnt","","Course Total","","7","4.000","28.6",".",".",".",".",".",".",".",".",".",".",".","71.4",".",".","."
"Engr Prob Solving with Comptrs","470","001","","32","3.766","81.3","6.3","3.1","3.1","6.3",".",".",".",".",".",".",".",".",".",".","."
"Technical Editing","497","001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","499","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Independent Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Quality Engr & Quality Mgmnt","518","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Technical Japanese Smr","530","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Communicating Technical Info","617","001","","32","3.742","56.3","34.4","3.1","3.1",".",".",".",".",".",".",".",".","3.1",".",".","."
"Appl Ldrshp&Mngmt of Engr Orgs","618","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Design I","622","001","","17","3.118","17.6","17.6","41.2","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"Engine Performance&Combustion","624","001","","29","3.571","41.4","31.0","20.7","3.4",".",".",".",".",".",".",".",".","3.4",".",".","."
"Perspectives - Engine Modeling","627","001","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Rsch-Japanese Technical Lit","630","003","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Teaching in Science & Engr","654","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ind Ecology: Sustainability","661","003","","12","3.778","41.7","33.3",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Engr Sustain Sem and Conf","663","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","001","","8","3.846","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Section Total","","14","3.895","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690","002","","19","3.789","57.9","42.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690","003","","7","3.556","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","009","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","","Course Total","","53","3.859","77.4","15.1","5.7",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"","699","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
