"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"299","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"350
Parasitology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"500
Molecular Biology Techniques","001","","12","3.250","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"514
Veterinary Parasitology","001","","85","3.476","47.1","12.9","31.8","4.7","3.5",".",".",".",".",".",".",".",".",".",".","."
"515
Reg Vet Med & Public Health","001","","77","3.844","72.7","23.4","3.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"526
Active, Integrated Learning II","001","","76","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Veterinary Systemic Path II","001","","76","3.691","50.0","38.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"562
Veterinary Clinic Pathology","001","","76","3.730","61.8","22.4","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","30","4.000","70.0",".",".",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"675","001","","161","",".",".",".",".",".",".",".","49.7",".",".",".",".","50.3",".",".","."
"675","004","","44","4.000","4.5",".",".",".",".",".",".","95.5",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","205","4.000","1.0",".",".",".",".",".",".","59.5",".",".",".",".","39.5",".",".","."
"681
Senior Honors Thesis","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","25","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"775","001","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","47","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920
Thesis Research Seminar","001","","9","4.000","33.3",".",".",".",".",".",".",".",".",".",".","22.2",".",".","44.4","."
"930","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","010","","9","3.813","55.6","33.3",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Advanced Seminar","Course Total","","10","3.833","60.0","30.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","10","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 403 of 409",""
